pIC50,smiles
5.55,CN(Cc1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1)c1ccc2c3c(cccc13)C(=O)N2
6.7,Cc1ccc2c3c(ccc(N(C)Cc4ccc(S(=O)(=O)c5ccc(N)cc5)cc4)c13)N=C2N
5.62,Cc1ccc2c3c(ccc(N(C)Cc4ccc(S(=O)(=O)c5ccc([N+](=O)[O-])cc5)cc4)c13)NC2=O
5.02,CN(Cc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1)c1ccc2c3c(cccc13)C(=O)N2
5.17,CC(C)N(Cc1ccc(S(=O)(=O)N2CCNCC2)cc1)c1ccc2c3c(cccc13)C(=O)N2
6.05,CN(Cc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc2c3c(ccc(Cl)c13)C(N)=N2
5.23,CC(=O)c1cccc2c(N(C)Cc3ccc(S(=O)(=O)c4ccc(N)cc4)cc3)ccc(N)c12
5.57,CN(Cc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1)c1ccc2c3c(cccc13)C(N)=N2
5.6,Cc1ccc2c3c(ccc(NCc4ccc(S(=O)(=O)c5ccccc5)cc4)c13)NC2=O
6.66,Cc1ccc2c3c(ccc(N(C)Cc4ccc(S(=O)(=O)N5CCOCC5)cc4)c13)N=C2N
4.82,O=C1Nc2ccc(N(CCCO)Cc3ccc(S(=O)(=O)N4CCNCC4)cc3)c3cccc1c23
5.4,COc1ccc(S(=O)(=O)c2ccc(CN(C)c3ccc4c5c(ccc(C)c35)C(=O)N4)cc2)cc1
5.51,CSc1ccc2c3c(ccc(N(C)Cc4ccc(S(=O)(=O)N5CCOCC5)cc4)c13)N=C2N
5.48,CNC1=Nc2ccc(N(C)Cc3ccc(S(=O)(=O)c4ccccc4)cc3)c3cccc1c23
6.44,Cc1ccc2c3c(ccc(N(C)Cc4ccc(S(=O)(=O)c5ccccc5)cc4)c13)N=C2N
6.4,COc1ccc(S(=O)(=O)c2ccc(CN(C)c3ccc4c5c(ccc(C)c35)C(N)=N4)cc2)cc1
5.3,Cc1ccc2c3c(ccc(N(C)Cc4ccc(S(=O)(=O)c5ccc(N)cc5)cc4)c13)NC2=O
6.16,Cc1ccc2c3c(ccc(N(C)Cc4ccc(S(=O)(=O)c5ccc([N+](=O)[O-])cc5)cc4)c13)N=C2N
5.51,CCCN(Cc1ccc(S(=O)(=O)N2CCNCC2)cc1)c1ccc2c3c(cccc13)C(=O)N2
5.7,CN(Cc1ccc(S(=O)(=O)c2ccccc2)cc1)c1ccc2c3c(cccc13)C(NO)=N2
5.41,Cc1ccc2c3c(ccc(N(C)Cc4ccc(S(=O)(=O)N5CCOCC5)cc4)c13)NC2=O
5.8,CN(Cc1ccc(S(=O)(=O)c2ccccc2)cc1)c1ccc2c3c(cccc13)C(N)=N2
5.52,COc1ccc(S(=O)(=O)c2ccc(CN(C)c3ccc4c5c(cccc35)C(=O)N4)cc2)cc1
5.68,COc1ccc(S(=O)(=O)c2ccc(CN(C)c3ccc4c5c(cccc35)C(N)=N4)cc2)cc1
4.51,O=C1Nc2ccc(N(CCO)Cc3ccc(S(=O)(=O)N4CCNCC4)cc3)c3cccc1c23
6.34,CN(Cc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc2c3c(cccc13)C(N)=N2
5.08,CN(Cc1ccc(S(=O)(=O)N2CCNCC2)cc1)c1ccc2c3c(cccc13)C(=O)N2
5.89,CN(Cc1ccc(S(=O)(=O)c2ccccc2)cc1)c1ccc2c3c(cccc13)C(NN)=N2
5.55,CSCN(Cc1ccc(S(=O)(=O)c2ccccc2)cc1)c1ccc2c3c(cccc13)C(=O)N2
6.05,CNC1=Nc2ccc(N(C)Cc3ccc(S(=O)(=O)c4ccc(OC)cc4)cc3)c3c(C)ccc1c23
5.9,CCN(Cc1ccc(S(=O)(=O)c2ccccc2)cc1)c1ccc2c3c(cccc13)C(N)=N2
5.46,CN(Cc1ccc(S(=O)(=O)c2ccccc2)cc1)c1ccc2c3c(cccc13)C(=O)N2
5.32,Cc1ccc2c3c(ccc(N(C)Cc4ccc(S(=O)(=O)c5ccccc5)cc4)c13)NC2=O
5.3,COc1ccc(S(=O)(=O)c2ccc(CN(C)c3ccc4c5c(ccc(C)c35)C(NO)=N4)cc2)cc1
6.22,CNC1=Nc2ccc(N(C)Cc3ccc(S(=O)(=O)N4CCOCC4)cc3)c3c(C)ccc1c23
5.39,CCN(Cc1ccc(S(=O)(=O)N2CCNCC2)cc1)c1ccc2c3c(cccc13)C(=O)N2
7.52,C=C(CC(NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O
8.13,C=C(CC(NC(=O)c1ccc(C(CC)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O
7.89,C=C(CC(NC(=O)c1ccc(CCc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O
6.155,Nc1cc(CO)cc(Nc2c3ccccc3nc3ccccc23)c1
4.75,CCOC(=O)Nc1cc(COC(=O)CCC(=O)Nc2cc(C(=O)NCCN(C)C)n(C)c2)cc(Nc2c3ccccc3nc3ccccc23)c1
7.24,CCOC(=O)Nc1cc(CO)cc(Nc2c3ccccc3nc3ccccc23)c1
5.69,CCOC(=O)Nc1cc(COC(=O)CCCC(=O)Nc2cc(-c3cc(C(=O)NCCN(C)C)n(C)c3)n(C)c2)cc(Nc2c3ccccc3nc3ccccc23)c1
4.75,CCOC(=O)Nc1cc(COC(=O)CCCC(=O)Nc2cc(C(=O)NCCN(C)C)n(C)c2)cc(Nc2c3ccccc3nc3ccccc23)c1
5.4,CC(=O)OCC1OC(n2cnc3c(-c4ccc(F)cc4)ncnc32)C(OC(C)=O)C1OC(C)=O
5.32,COc1cccc(-c2ncnc3c2ncn3C2OC(CO)C(O)C2O)c1
5.85,OCC1OC(n2cnc3c(-c4ccc(F)c(F)c4)ncnc32)C(O)C1O
6.6,COc1ccc(-c2ncnc3c2ncn3C2OC(CO)C(O)C2O)cc1
5.82,Cc1ccc(-c2ncnc3c2ncn3C2OC(CO)C(O)C2O)cc1
5.37,COc1ccc(-c2ncnc3c2ncn3C2OC(COC(C)=O)C(OC(C)=O)C2OC(C)=O)cc1
5.42,CCOc1ccc(-c2ncnc3c2ncn3C2OC(COC(C)=O)C(OC(C)=O)C2OC(C)=O)cc1
5.37,CC(=O)OCC1OC(n2cnc3c(-c4ccc(Cl)cc4)ncnc32)C(OC(C)=O)C1OC(C)=O
6.17666666667,OCC1OC(n2cnc3c(-c4ccccc4)ncnc32)C(O)C1O
6.05,OCC1OC(n2cnc3c(-c4ccc(Cl)cc4)ncnc32)C(O)C1O
4.98,CC(=O)OCC1OC(n2cnc3c(-c4ccccc4)ncnc32)C(OC(C)=O)C1OC(C)=O
6.145,OCC1OC(n2cnc3c(-c4ccc(F)cc4)ncnc32)C(O)C1O
5.08,CC(=O)OCC1OC(n2cnc3c(-c4ccc(F)c(F)c4)ncnc32)C(OC(C)=O)C1OC(C)=O
6.22,CCOc1ccc(-c2ncnc3c2ncn3C2OC(CO)C(O)C2O)cc1
8.89,C#CCC(Cc1cnc2cc(N)cc(N)c2n1)c1ccc(C(=O)NC(CCCNC(=O)c2ccccc2C(=O)O)C(=O)O)cc1
