NSC #,LC:A549/ATCC,smiles
1,4.4366666666666665,CC1=CC(=O)C=CC1=O
100045,-0.505,*OC1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC=C2[C@@H]4CC(C)(C)[C@@H](OC(=O)/C=C\C=C/C(C)CC)[C@H](OC(C)=O)[C@]4(C(=O)O)CC[C@]23C)C1(C)C
100046,5.1575,C=C(C)C(=O)O[C@H]1CC2=C[C@@H](C[C@@]3(C)O[C@@H]3[C@H]3OC(=O)C(=C)[C@H]13)OC2=O
100058,3.82,COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2
100071,4.77,Clc1cc(Cl)c(OCC#CI)cc1Cl
10010,5.82,COc1ccc2nc(C)cc(NCCCCCCCCCNc3cc(C)nc4ccc(OC)cc34)c2c1.Cl
10018,6.4,Br.CCCCCCCCCCCCn1c(C)nc2ccccc21
100279,4.87,CN(C)c1ncnc2c1ccn2C1OC(CO)C(O)C1O
100290,6.865,CC[C@]1(O)C[C@H](OC2CC(N(C)C)C(O)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@@H]1C(=O)OC.Cl
10036,5.78,CCN(CC)CCC(CNc1ccnc2cc(Cl)ccc12)c1ccc(Cl)cc1
10037,4.94,CCN(CC)CCC(CNc1ccnc2cc(Cl)ccc12)c1ccccc1
100434,6.9,C/C(=N\c1ccccc1)C1=C(O)C(Cc2ccc(O)cc2)NC1=O
100445,7.279999999999999,C/C(=N\c1ccccc1)C1=C(O)C(Cc2ccccc2)NC1=O
100723,4.0,Cl.NNc1ccccc1Cl
100737,5.04,N#CSCC(=O)c1ccc(Cl)cc1
100770,5.265000000000001,Cc1cc(N(CCCl)CCCl)ccc1/C=N/c1ccc(-c2csc(Cc3ccccc3)n2)cc1.Cl
100777,5.734999999999999,CC(=O)OCCC/C(=C/c1cc2ccccc2c2ccccc12)[N+](=O)[O-]
100880,7.79875,CC[C@](O)(C(=O)O)c1cc2n(c(=O)c1CO)Cc1cc3ccccc3nc1-2.[Na+]
1010,6.055,O=[N+]([O-])c1ccc(NC(c2ccccc2)c2ccc3cccnc3c2O)cc1
101003,5.11,NNc1cccc(/C=C/c2ccccc2)cc1=O
101088,5.98,CC1=C(CO)C(=O)O[C@@H]([C@@H](C)[C@H]2CC[C@H]3[C@@H]4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)[C@H]4CC[C@@]32C)C1
1011,5.225,O=C(O)c1ccc(NC(c2ccccc2)c2ccc3cccnc3c2O)cc1
1012,5.255,O=C(O)c1ccccc1NC(c1ccccc1)c1ccc2cccnc2c1O
1013,5.095,O=[N+]([O-])c1ccc(C(Nc2ccccc2)c2ccc3cccnc3c2O)cc1
101319,4.0,COCCOC(C)C(/C=N/NC(N)=S)=N/NC(N)=S
1014,5.4,Cc1ccnc(NC(c2ccccc2)c2ccc3cccnc3c2O)c1
101489,4.92,COc1cc(N(CCCl)CCCl)ccc1/C=N\NC(=O)c1cccnc1
101490,5.123333333333333,O=C(N/N=C\c1ccc(N(CCCl)CCCl)cc1Cl)c1cccnc1
101492,4.0,O=C(O)c1ccccc1/N=C/c1ccc(N(CCCl)CCCl)cc1
101643,5.49,CC(C)(Cl)CCC1=C(Cl)C(=O)c2ccccc2C1=O
102004,4.3325,CCC1=CC2CN3CCc4c([nH]c5ccccc45)C(C(=O)OC)(C2)C13
102049,5.23,COc1cc(OC)c2c(=O)c(O)c(-c3ccc(OC)c(OC)c3)oc2c1
102051,4.0,COc1ccc(-c2oc3ccccc3c(=O)c2O)cc1OC
102057,5.31,COc1ccc2c(=O)c(O)c(-c3ccc(OC)c(OC)c3)oc2c1
102067,4.0,Cn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2
102068,4.94,Nc1ccccc1-n1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2
102225,4.81,N#C/C(=C1/C=C/C(=N/O)C(Cl)=C1)c1ccc(Cl)cc1
102378,4.775,NC(=S)N/N=C1\c2ccccc2-c2c(F)c(F)c(F)c(F)c21
1026,3.2,NC1(C(=O)O)CCCC1
102622,5.42,C[C@@H]1[C@H]2NC[C@H](C)C[C@]2(O)O[C@@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@@H](N)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@@H]12
102627,3.1281818181818184,CS(=O)(=O)OCCCNCCCOS(C)(=O)=O.Cl
1027,4.87,CC(C)(Br)C(=O)C(Br)Br
102742,5.62,O=C1C(Cl)=C(Nc2ccc3cn[nH]c3c2)C(=O)c2ccccc21
102810,4.66,O=CC(OC(=O)c1ccccc1)C(OC(=O)c1ccccc1)C(COC(c1ccccc1)(c1ccccc1)c1ccccc1)OC(=O)c1ccccc1
102811,6.445,Nc1ncnc2c(C3OC(CO)C(O)C3O)n[nH]c12
102813,7.755,CC1OC(O)CC(N(C)C)C1O.CC1OC(O)CCC1O.CCC1CC(O)c2c(O)c3c(c(O)c2C1O)C(=O)c1cccc(O)c1C3=O
