,ids,mols,X,y
0,,Cn1c(=O)c2c(c3cc4c(cc3s2)c2c(s4)c(=O)n(C)c3ccccc23)c2ccccc21,,0.0
1,,c1ccc(C2=NN(c3ccccc3)C3(S2)SC(c2ccccc2)(c2ccccc2)c2ccccc23)cc1,,0.0
2,,O=C1C2=Nc3ccccc3C(O)(C(=O)O)N2c2ccccc12,,0.0
3,,O=[N+]([O-])c1ccc(-c2nc3cc(Cl)ccc3[nH]2)cc1,,0.0
4,,CC=CC=CC1OC(O)(C(CC)C(=O)NCC=CC=C(C)C(OC)C(C)C2OC(C=CC=CC=C(C)C(=O)c3c(O)ccn(C)c3=O)C(O)C2O)C(O)C(O)C1(C)C,,0.0
5,,COc1ccc(-c2c(O)c(=O)c3cc(C)ccc3o2)cc1,,0.0
6,,Brc1cccc(C2SCc3nc4ccccc4n32)c1,,0.0
7,,COc1ccc(C)cc1-c1ccc(-c2cc(C)ccc2OC)o1,,0.0
8,,Ic1cc2c(cc1C1SCCCS1)OCO2,,0.0
9,,O=C(c1c2CCCCc2cc2c1CC1(Cc3cc4c(cc3C1)CCCC4)C2)C(Br)Br,,0.0
10,,CCC=C(C(=CCC)[N+](=O)[O-])[N+](=O)[O-],,0.0
11,,N=C(N)NN=C(c1ccccc1)c1ccc(O)cc1O,,0.0
12,,CC(=O)CC(=O)Nc1c(C)c([Hg]OC(C)=O)c(C)c([Hg]OC(C)=O)c1[Hg]OC(C)=O,,0.0
13,,CCOn1c(C2(CC3CCN(C(=O)c4ccccc4)CC3)OCCO2)cc2ccccc21,,0.0
14,,COc1nc(O)nc2c1C(c1ccc([N+](=O)[O-])cc1)c1c(OC)nc(O)nc1O2,,0.0
15,,Cc1cc(N(CCOS(C)(=O)=O)CCOS(C)(=O)=O)ccc1C=O,,0.0
16,,O=C(C=Cc1ccc(Cl)cc1)C=C1SCCS1,,0.0
17,,CC(=O)OCC=CCn1nc(Br)c(=O)[nH]c1=O,,0.0
18,,Cc1ccc(N=NC(=Nc2ccc(F)cc2)c2ccc(N(CCC#N)CCC#N)cc2)cc1,,0.0
19,,Cc1nn(C(=O)C(C)Sc2nnc(SC(C)C(=O)n3nc(C)cc3C)s2)c(C)c1,,0.0
20,,NC(=Nn1c(=S)[nH]c2ccccc2c1=O)Nn1c(=S)[nH]c2ccccc2c1=O,,0.0
21,,CNC(=S)N1CCN(C(C)=O)C1=S,,0.0
22,,Cc1cccc(NC(=O)CSc2nnc(Cc3ccccc3)o2)c1,,0.0
23,,CC1=CCCC2(C)C(CCC2C(C)C=CC(C)C)c2ccc(cc2C(=O)O)CC(O)CC1,,0.0
24,,CC#CC(=O)Nc1ccccc1CC(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,,0.0
25,,Cc1cc(C)nc(NS(=O)(=O)c2ccc(Nc3c4cccc(C(=O)NCCN(C)C)c4nc4cc(Cl)ccc34)cc2)n1,,0.0
26,,Cc1ccc(S(=O)(=O)NC(=O)NC23CC4CC(CC(F)(C4)C2)C3)cc1,,0.0
27,,Cc1ccc(C2=NOC3C(=O)N(c4ccc(Cc5ccc(N6C(=O)C7ON=C(c8ccc(C)cc8)C7C6=O)cc5)cc4)C(=O)C23)cc1,,0.0
28,,CC(=O)c1c(-c2ccccc2)n(C2OC(CO)C(O)C(O)C2O)c(=S)c(C#N)c1-c1ccco1,,0.0
29,,COc1cc2c(c(OC)c1OC)c(=O)cc(-c1ccccc1)[nH]2,,0.0
30,,O=C1NC(=S)NC(=O)C1=Cc1ccc(-c2ccccc2)cc1,,0.0
31,,O=C1OC(c2ccccc2)=NC1=CNC(Cc1ccc(O)cc1)C(=O)O,,0.0
32,,CC(C)[Si](OC1=C(c2ccccc2)C(NC(=O)C=Cc2ccc([N+](=O)[O-])cc2)CCC1)(C(C)C)C(C)C,,0.0
33,,CSc1nc(C)c(CCOC(C)=O)c(Cl)n1,,0.0
34,,COc1ccc(C2=Nc3ccccc3SC(C)C2)cc1OC,,0.0
