,ids,mols,X,y
0,,O=c1oc2cc(O)ccc2c2c1[nH]c1ccc(O)cc12,,4.42
1,,C=C(C)C1CCC2(C(=O)NCCCCCCCCCCC(=O)O)CCC3(C)C(CCC4C5(C)CC=CC(C)(C)C5CCC43C)C12,,5.75
2,,CC(C)C(CCC(C)C1CC(OS(=O)(=O)O)C2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C)OC1OCC(O)C(O)C1O,,4.16
3,,CC(=O)NC(C[S+]([O-])c1ccc2ccccc2n1)C(=O)NC(Cc1ccccc1)C(O)Cc1ccccc1C(=O)NC(C)(C)C,,7.14
4,,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,,7.3
5,,COc1ccc(NC(=O)c2c(-c3cc(OC)c(OC)c(OC)c3)[nH]c(=O)[nH]2)cc1OC,,5.38
6,,CNc1nc(Nc2ccc(-c3cnco3)c(OC)c2)nc(-c2ccccc2)n1,,5.43
7,,O=C1OC(=C(Br)Cn2c(Br)c(C=CBr)c(=O)[nH]c2=O)C(OCc2ccccc2)=C1OCc1ccccc1,,4.04
8,,Cn1cc(NC(=O)c2cc(NC(=O)C=CC(=O)Nc3cn(C)c(C(=O)Nc4cn(C)c(C(=O)NCCC(=N)N)c4)c3)cn2C)cc1C(=O)NCCC(=N)N,,4.48
9,,Cn1cc(NC(=O)c2cc(NC(=O)c3ccc(C(=O)Nc4cn(C)c(C(=O)Nc5cn(C)c(C(=O)NCCC(=N)N)c5)c4)cc3)cn2C)cc1C(=O)NCCC(=N)N,,4.75
10,,CNC(=O)OCc1c2Cc3ccccc3Cn2c(-c2ccc(Cl)cc2)c1COC(=O)NC,,6.726666666669999
11,,COC1N(C(=O)OC(C)(C)C)c2ccccc2C12CN=C(Nc1ccccc1)S2,,4.66
12,,Cc1ccc(NC(=O)Nc2ccc(N(CCCl)CCCl)cc2)cc1Nc1c2cccc(C)c2nc2ccccc12,,7.73
13,,Cc1cc(Nc2cccc(C(F)(F)F)c2)c2cc(NC(=O)Nc3ccc(N(CCCl)CCCl)cc3)ccc2n1,,5.73
14,,CSc1ncnc2c1c(-c1ccco1)cn2C1OC(CO)C(O)C1O,,7.3
15,,Cc1cc(CN(C)c2ccc3N=C(N)c4c3c2ccc4)ccn1,,5.64
16,,CC(=NN=C(S)N1CC2CCC(CC2)C1)c1cnc(C)cn1,,7.96
17,,CN(C)CCNC(=O)c1cccc2c(NCCCCCCCCNc3c4cccc(C(=O)NCCN(C)C)c4nc4ccccc34)c3ccccc3nc12,,4.46
18,,Cc1ccc2snc(N=Cc3cccc(Cl)c3)c2c1,,5.82
19,,Nc1nc(=O)n(C2C=CC(CO)O2)cc1F,,4.0
20,,CCC(=NNc1nc2ccccc2o1)c1ccccn1,,8.4
21,,COc1ccc(NC(=S)NCc2cn(C(=O)OC(C)(C)C)c3ccccc23)cc1,,4.66
22,,NC1CCc2c(C1)sc(NC(=O)c1cccc(Br)c1)n2,,4.64
23,,Cc1c(C(=O)N2CCCC2CN2CCCC2)c(C)c(C=C2C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc23)[nH]1,,4.37
24,,CN(CCCCCl)P(=O)(OCc1ccc([N+](=O)[O-])o1)OCC1OC(n2ccc(N)nc2=O)C(F)(F)C1O,,5.19
25,,COC(=O)c1ccc(CN(CCc2c(N)nc(N)[nH]c2=O)c2cc(F)ccc2[N+](=O)[O-])cc1,,4.15
26,,COc1ccc2c(c1)OCC1c3cc(OC)c(OCc4ccccc4)cc3OC21,,4.16
27,,CCCCCCCCC#Cc1cn(CC=CCN2C(=O)c3ccccc3C2=O)c(=O)[nH]c1=O,,4.41
28,,CCCCCn1cnc2c(C#CC#Cc3ncnc4c3ncn4CCCCC)ncnc21,,6.43
29,,COc1cccc(-c2cc(NC(=O)Nc3ccc(N(CCCl)CCCl)cc3)c3cc(OC)ccc3n2)c1,,6.306666666669999
30,,Nc1cc(CO)cc(Nc2c3cccc(OCCN(CCCl)CCCl)c3nc3ccccc23)c1,,7.4233333333300004
31,,O=c1cc2oc3ccccc3nc-2c2cccnc12,,8.0
32,,CN(Cc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc2N=C(N)c3c2c1ccc3,,6.34
33,,OCC1OC(n2ccc3c(-c4ccco4)ncnc32)C(O)C1O,,6.51
34,,O=C1C=CC(=Nc2ccc(Cl)c(Cl)c2)O1,,4.27
35,,C=C(Br)C(=O)Nc1cccc(C=C2CN(C(=O)OC)CC(=Cc3cccc(NC(=O)C(=C)Br)c3)C2=O)c1,,6.33
36,,O=C1C(=Cc2ccccc2)CCCC1=Cc1ccccc1[N+](=O)[O-],,6.03
37,,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCCCCCCCCCC(=O)O)C(=O)O)cc1,,5.595
38,,COc1ccc(C(=O)c2c(N)nc(Nc3ccccc3)s2)cc1,,5.04
39,,COc1ccc(C=CC(=O)Oc2ccc(C=C3CCCCC3=O)cc2)cc1,,5.06
40,,COC1N(C2CC(N=[N+]=[N-])C(CO)O2)C(=O)NC(=O)C1(C)Br,,4.37
41,,Cc1c(C(=O)C=Cc2cccc([N+](=O)[O-])c2)[n+]([O-])c2ccccc2[n+]1[O-],,4.8
42,,COc1nc(CC(C)(O)C(F)(F)F)c(-c2ccccc2)c(OC)n1,,4.16
43,,COc1cc2c(cc1-c1cnco1)c(=O)cc(-c1ccccc1)[nH]2,,6.16
44,,Nc1ccc(C=C2SC(=O)N(Cc3cccc(Cl)c3)C2=O)cc1,,4.75
45,,CC(C)CC1OC(=O)C(C)(C)CNC(=O)C(Cc2ccc(NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)NC(=O)C=CCC(C(C)C2OC2c2ccccc2)OC1=O,,6.94
46,,O=C1C(=Cc2ccc(F)cc2)CCCC1=Cc1cccc([N+](=O)[O-])c1,,5.3
47,,COc1cc(-c2c(CO)c(CO)c3sc4ccccc4n23)cc(OC)c1OC,,5.4
48,,COc1ccc2C(=Cc3ccc(C(F)(F)F)cc3)C(=O)CCc2c1,,5.92
49,,CC(C)CC1OC(=O)C(C)(C)CNC(=O)C(Cc2ccc3ccccc3c2)NC(=O)C=CCC(C(C)C2OC2c2ccccc2)OC1=O,,7.32
50,,COc1cc(Nc2ncc(-c3ccccc3N(C)C(=O)CNC(C)(C)C)o2)ccc1-c1cnco1,,6.16
51,,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,,9.77
52,,C=C(Br)C(=O)Nc1ccc(C=C2SC(=O)N(Cc3cccc(Cl)c3)C2=O)cc1,,5.43
53,,Cc1ccc(C=C2Cc3ccccc3C2=O)cc1,,4.17
54,,[N-]=[N+]=NC1CC(n2cc(I)c(=O)[nH]c2=O)OC1CO,,4.9
55,,Nc1nc(=O)n(C2SC(CO)C2CO)cc1Br,,5.75
56,,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,,4.765
57,,CCCCCCCCc1ccc(COC2CNC(CO)C2)cc1,,5.09
58,,Nc1ncnc2c1ncn2C1OC(CO)C=C1F,,4.24
59,,NC(CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O,,5.68
60,,CC(CCC=C(c1cc(Cl)c(O)c(C(=O)O)c1)c1cc(Cl)c(O)c(C(=O)O)c1)C1CCC2C3CCC4CC(F)(F)CCC4(C)C3CCC12C,,4.62
61,,Cc1ccc(Cc2nn3c(Br)c(-c4ccc(F)cc4)nc3s2)cc1,,4.2075
62,,CC(C)NC(=O)OCc1c2Cc3c(Cn2c(-c2ccc(F)cc2)c1COC(=O)NC(C)C)n(C)c1ccccc31,,6.96
63,,C=C(Br)C(=O)Nc1cccc(C=C2SC(=O)N(Cc3ccc(C(C)(C)C)cc3)C2=O)c1,,5.52
64,,CC(=O)C1(O)Cc2c3C(=O)c4ccccc4C(=O)c3c(O)c(O)c2C(OC2CC(N)C(O)C(C)O2)C1,,6.0
65,,O=C(Nc1ccc(N(CCCl)CCCl)cc1)Nc1ccc2ncnc(Nc3ccc(F)c(Br)c3)c2c1,,5.416666666669999
66,,Cn1cc(NC(=O)c2cc(NC(=O)CCCCCCCCCCC(=O)Nc3cn(C)c(C(=O)Nc4cn(C)c(C(=O)NCCC(=N)N)c4)c3)cn2C)cc1C(=O)NCCC(=N)N,,4.11
67,,CON1c2ccccc2C2(CN=C(SC)S2)C1Nc1ccccc1Cl,,4.44
68,,CCCCCCCCCC(=O)OC1C=C2C(OC(C)=O)OC(OC(C)=O)C23C(OC2OCC(O)C(O)C2O)CC(C)C(C)(CC(O)C2=CCOOC2)C3C1,,5.1
69,,COc1cc(C(=O)c2c(N)c3cccc(OC)c3s2)cc(OC)c1OC,,8.05
70,,O=C1C(=Cc2ccc([N+](=O)[O-])cc2)CN(C(=O)CCSCCO)CC1=Cc1ccc([N+](=O)[O-])cc1,,6.86
71,,COc1cc(C=C2C(=O)N(C(=O)c3ccccc3O)N=C2C)ccc1O,,7.03
72,,CCn1c2ccccc2c2cc(S(=O)(=O)Nc3ccc(OC)nc3OC)ccc21,,6.91
73,,COc1ccc2nc(C)cc(NC(=O)NNc3ccc(N(CCCl)CCCl)cc3)c2c1,,6.073333333330001
74,,C=C(C)C1CCC2(C(=O)NCCCCCCCCCCC(=O)O)CCC3(C)C(CCC4C5(C)CC(=O)C(=O)C(C)(C)C5CCC43C)C12,,5.52
75,,CCC(CO)Nc1nc(NCc2cc(F)ccc2O)c2ncn(C(C)C)c2n1,,5.41
76,,OCC1OC(n2cc(F)c3c(-c4ccccc4)ncnc32)C(O)C1O,,5.51
77,,COc1cc(C(=O)c2ccc3ccn(C)c3c2)cc(OC)c1OC,,7.52
78,,C=C(C)C1CCC2(C(=O)NCCCCCCCC(=O)Nc3ccc(C(=O)O)cc3)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,,7.16
79,,Cc1ccc(NC(=O)C=CC(=O)N2CC(=Cc3ccccc3)C(=O)C(=Cc3ccccc3)C2)cc1C,,5.15
80,,C1=C(CSC(=NC2CCCCC2)NC2CCCCCCC2)N2CCN=C2S1,,8.1
81,,CC(C)(C)NC(=O)c1ccccc1CC(O)C(Cc1ccccc1)NC(=O)C(CS(=O)(=O)Cc1ccccc1)NS(C)(=O)=O,,6.1
82,,CCCCCCCCCCCCCCCCCC(=O)OCC(C)C1(O)C(OC2OCC(O)C(OC3OCC(O)C(O)C3OC(=O)c3ccc(OC)cc3)C2OC(C)=O)CC2C3CC=C4CC(O)CCC4(C)C3CCC21C,,7.24
83,,CCCCOc1c2cc(C(=O)Nc3cc(C(=O)O)cc(C(=O)NC4CCCCC4)c3)cc1Cc1cc(C(=O)Nc3cc(C(=O)O)cc(C(=O)NC4CCCCC4)c3)cc(c1OCCCC)Cc1c(OCCCC)c(cc(C(=O)Nc3cc(C(=O)O)cc(C(=O)NC4CCCCC4)c3)c1)Cc1c(OCCCC)c(cc(C(=O)Nc3cc(C(=O)O)cc(C(=O)NC4CCCCC4)c3)c1)C2,,5.39
84,,COc1cc(OC)c2c(-c3ccc(OC)c(O)c3)cc(=O)oc2c1,,7.08
85,,COC(=O)C(Cc1ccccc1)NP(=O)(O)OCC1OC(n2cc(F)c(=O)[nH]c2=O)CC1O,,6.5
86,,O=C(NO)NC(Cc1ccccc1)C(=O)NC1CCCCC1,,4.77
