,ids,mols,X,y
0,,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,,4.245
1,,COc1cc(-n2c(-c3ccc(F)cc3F)cn(C(C)=O)c2=O)cc(OC)c1OC,,4.47
2,,CC1CCC2C(OC(=O)C23CC(c2c(F)cccc2F)N(c2ccccc2)O3)C2(C)C(=O)C=CC12O,,5.62
3,,COc1cc(OC)cc(C(=O)c2c[nH]c(-c3ccccc3)n2)c1,,5.5
4,,CC(=O)OCC1OC(NC(=O)CCCNC(=O)CCCc2ccc(N(CCCl)CCCl)cc2)C(F)C(OC(C)=O)C1OC(C)=O,,5.52
5,,Cc1ccc2c(c1)C(=O)C(=O)N2Cc1cn(CCN2C(=O)C(=O)c3cc(F)ccc32)nn1,,4.07
6,,CC(=Cc1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1,,7.63
7,,O=c1c2ccccc2nnn1CCCN1CCN(c2cccc3ccccc23)CC1,,4.98
8,,COc1cccc2c1-c1c(C2)c(Nc2ccccc2)n[nH]1,,5.5
9,,CC(CCC(C)NCc1cccc2ccccc12)NCc1cccc2ccccc12,,5.16
10,,COc1cc(-c2nnc(Nc3ccc(C)cc3)s2)cc(OC)c1OC,,4.7
11,,CC1CCC2C(OC(=O)C23CN3c2cccc(Cl)c2)C2(C)C(=O)C=CC12O,,4.07
12,,COc1ccc(-c2nnnn2-c2cc(Br)c(OC)c(Br)c2)cc1O,,8.54
13,,COc1ccc(CCNc2nc3ccccc3c3c2c2ccccc2[nH]3)cc1OC,,5.05
14,,O=C1C(=Cc2cscc2)CCCC1=Cc1cscc1,,4.84
15,,CC1=C(C=CC(=O)C=Cc2cccc(C)c2)C(C)(C)CCC1O,,5.21
16,,CCOC(=O)CCC(F)(C(=O)C=Cc1ccc(OC2CCCCO2)c(OC)c1)C(=O)C=Cc1ccc(OC2CCCCO2)c(OC)c1,,5.2
17,,COCCOc1ccc(Cn2c3ncnc4c(ncn4Cc4ccc(OC)cc4)c-3nc2=O)cc1,,5.17
18,,O=S(=O)(c1ccccc1)c1nc2ccccc2nc1Nc1ccccc1,,6.23
19,,COc1cc(Nc2nc3ccccc3nc2S(=O)(=O)c2ccc(F)cc2)cc(OC)c1,,5.34
20,,COC1=C2CCC3C4CCC(=Cc5ccccn5)C4(C)CCC3C2(C)CCC1=O,,4.47
21,,O=C(Nc1ccc(Cl)cc1)C1CCCN(C(=O)c2cccc(-c3cccs3)c2)C1,,5.35
22,,O=C1C(=O)C(Cc2ccccc2)C(=O)c2ccccc12,,4.04
23,,COc1cc(C2=NOC3(C2)C(=O)OC2C3CCC(C)C3(O)C=CC(=O)C23C)ccc1O,,4.8
24,,COc1ccc(C2CNC3=C2C2=NCCc4cn(S(=O)(=O)c5ccc(C)cc5)c(c24)C3=O)cc1,,4.69
25,,COc1ccc2c(c1)c(C=NNC(=O)c1c[nH]c3ccc(Br)cc13)cn2Cc1ccc(Cl)cc1,,4.8
26,,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc(N)cc2C1=O,,5.68
27,,O=C1C(=O)N(CCn2cc(CN3C(=O)C(=O)c4cc([N+](=O)[O-])ccc43)nn2)c2ccc(Cl)cc12,,4.27
28,,O=C(NO)c1ccc(C=Cc2ccccc2)o1,,4.39
29,,C=CCCCCOc1ccc(F)cc1-c1cnc(OCCC=C)n1C,,4.28
30,,CC(=O)Nc1cc(-c2ccc(F)c(F)c2)cc(-c2cccc3c2cc[nH]3)c1,,7.0
31,,COc1cc(OC)c(OC)cc1C=CC(=O)CC(=O)C=Cc1ccc(OC)c(OC)c1,,5.09
32,,CC(C)Oc1ccc(N2CCN(Cc3ccc(Br)cc3)CC2)cc1NC(=O)c1cnccn1,,4.5
33,,O=C1C(=O)N(Cc2ccc(C(F)(F)F)cc2)c2c(Br)cc(Br)cc12,,5.93
34,,COc1ccc(-c2c(-c3cc(Br)c(OC)c(OC)c3)n(C)cn2)cc1F,,7.16
35,,C=CCC(OC(=O)C=C)c1ccnc2ccccc12,,4.82
36,,CCOC(=O)c1cc2cc(Nc3ncnc4cc(OC)c(OCCCN5CCN(C)CC5)cc34)ccc2s1,,5.21
37,,COc1cccc(C2CC3(ON2c2ccccc2)C(=O)OC2C3CCC(C)C3(O)C=CC(=O)C23C)c1,,4.985
38,,CN(C)c1ccc(C=Cc2ccc(C(=O)NO)o2)cc1,,5.5
39,,CCCCCCCCCCCCCCCCCCOCC(COC(=O)OC1C(O)C(O)C(O)C(CO)C1O)OC,,5.0
40,,Cc1noc(C=C2CCCC(=Cc3cc(C)no3)C2=O)c1,,7.27
41,,O=C1c2ccccc2C(=O)c2c1ccc1c2[nH]c(CCl)n1,,5.29
42,,CNCCCN(C)c1cccc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)n1,,8.44
43,,C#CCN1CC(=O)OC(=CBr)C1,,5.01666666667
44,,COc1cc2c(cc1O)CCC1C2CCC2(C)C=CCC12,,6.21
45,,COc1ccc2c(c1)c(C=C1Oc3cc(O)cc(O)c3C1=O)c(C)n2CCCN(C)C,,5.55
46,,Cc1ccc(-c2cn(CCC3(O)NC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)nn2)cc1,,4.08
47,,CCCCCCCCCCCCCCCCCCNC(=O)C1CSC(c2cccc(O)c2)N1,,5.17
48,,C=C1C(=O)OC2C1CCC(C)C1(O)C(n3cc(CNc4ccc(F)cc4)nn3)CC(=O)C21C,,4.0
49,,CC(=O)Nc1cn(C)c(C(=O)Nc2cn(C)c(C(=O)Nc3cn(C)c(C(=O)NCCC(=O)Nc4cn(C)c(C(=O)NCCCC(=O)Nc5cn(C)c(C(=O)NCCC(=O)Nc6cn(C)c(C(=O)Nc7ccc8[nH]c(C(=O)N9CC(CCl)c%10c9cc(O)c9ccccc%109)cc8c7)n6)n5)c4)c3)n2)n1,,7.72
50,,COc1ccc2c(c1)c(C=NNC(=O)c1cn(C)c3ccccc13)cn2Cc1ccc(Cl)cc1,,4.67
51,,CN(C)CCn1ccc2c(N3CCOCC3)nc(-c3cccc(O)c3)nc21,,5.93
52,,CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4cccnc4)cc3)nc21,,7.02
53,,CC1(C(=O)OCc2ccccc2)CCCC2(C)C3CCC4(O)CC3(CCC12)OC(=O)C41CO1,,4.25
54,,CN(C)c1ccc(-c2nc(C(=O)c3ccc(F)cc3)c[nH]2)cc1,,7.09
55,,O=C1CCCCc2c3nc(nc(NC4CC4)n3nc2)Nc2cc(ccc2)N1,,6.06
56,,Cn1c2cnc1OCCCCCCCCCCOc1ccccc1-2,,4.51
57,,CC12CCC3C(CCC4CC5OC6OC(CO)CC(O)C6(O)OC5CC43C=O)C1(O)CCC2C1=CC(=O)OC1,,6.52
58,,CC1=C2C3OC(=O)C4(CC(c5ccc(Br)cc5)N(c5ccccc5)O4)C3CCC2(C)C=CC1=O,,7.0
59,,CC(C)n1ncnc1-c1nc2c(CCOc3cc(C4CN(CC(O)CO)C4)ccc3-2)s1,,6.36
60,,N#Cc1ccc(Cn2cncc2CN2CCCN(C(=O)C34CC5CC(CC(C5)C3)C4)CC2)cc1,,4.68
61,,CCOC(=O)CCC(C(C)=O)C(=O)C=Cc1ccc(O)c(OC)c1,,4.36
62,,CCN(CC)C(=O)Cn1c(=O)c(-c2ccc(OC)cc2)cc2c(OC)cc(OC)cc21,,5.0
63,,CC(C)CCCC(C)C1CCC2C3C(O)C=C4CC(O)CCC4(C)C3CCC12C,,4.66
64,,CC12CCC=CC1=CCC1C2CCC2(C)C(=Cc3ccccn3)CCC12,,4.7
65,,O=C1CSC(=O)N1Cc1ccccc1F,,4.06
66,,COc1cc(C2c3cc4c(cc3C(n3cc(CNc5cccc([N+](=O)[O-])c5)nn3)C3COC(=O)C23)OCO4)cc(OC)c1O,,5.18
67,,C=C1CC(OC(C)=O)C(C(C)C)C2C1CC(OC(=O)C(C)=CC)C2C(C)=O,,4.1
68,,CCOC(=O)CCC(C(=O)C=Cc1ccc(OC2CCCCO2)c(OC)c1)C(=O)C=Cc1ccc(OC2CCCCO2)c(OC)c1,,4.91
69,,CC(=O)OC1C=CC(OCCCOc2cc(O)c3c(=O)c(-c4ccc(O)cc4)coc3c2)OC1C,,4.97
70,,Cc1cccc2c(Oc3ccc(C=CC(=O)C=Cc4cc([N+](=O)[O-])ccc4Cl)cc3)ncnc12,,5.55
71,,O=C1NC(O)(CCn2cc(C3=CCCCC3)nn2)C(OCc2ccccc2)=C1OCc1ccccc1,,4.17
72,,O=C1C(=Cc2ccc(Br)cc2)CCCC1=Cc1ccc(Br)cc1,,4.87
73,,O=C(CCCCCCN1C(=O)C(=NO)c2cc([N+](=O)[O-])ccc21)NO,,4.71
74,,O=C(C=Cc1ccc2c(c1)nc(CCc1ccccc1)n2CCN1CCCCC1)NO,,6.92
75,,Nc1c(C(=O)NC2CCCC2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)s1,,4.67
76,,CC1=C(C=CC(=O)C=Cc2cccnc2)C(C)(C)CCC1,,4.99
77,,COc1cc(C(=C(C)C)c2csc(-c3ccccc3)n2)cc(OC)c1OC,,5.61
78,,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,,5.06666666667
79,,COc1cc(O)c2C(=O)C(O)C(c3ccc4OC(CO)C(c5ccc(O)c(OC)c5)Oc4c3)Oc2c1,,4.77
80,,COc1cc(C2c3cc4c(cc3C(Nc3cccc5cc6ccccc6cc35)C3COC(=O)C23)OCO4)cc(OC)c1OC,,5.1
81,,COc1ccc(C2CC3(ON2c2ccccc2)C(=O)OC2C4=C(C)C(=O)C=CC4(C)CCC23)cc1Br,,7.0
82,,COc1ccc2c(c1)c(C=C1Oc3cc(O)cc(O)c3C1=O)c(C)n2CCN(C)C,,5.75
83,,S=C=NCCCCCCc1ccccc1,,4.77
84,,CC12CCCC1C1CCc3cc(O)ccc3C1CC2,,4.66
85,,O=C(CCC1=CCCN(CCc2ccccc2F)C1=O)NO,,5.15
86,,C=CC(=C)CCC1(C)C(C)CC(OC)C23C(=CC(OC(C)=O)CC12)C(OC(C)=O)OC3OC(C)=O,,5.33
87,,Cc1ccccc1N1CC12C(=O)OC1C2CCC(C)C2(O)C=CC(=O)C12C,,4.9
88,,CCCSc1ncnc2ccc(I)cc12,,4.39
89,,COc1cc(C(=O)c2nc(-c3ccc(F)cc3)c[nH]2)cc(OC)c1OC,,6.71
90,,COc1ccc2[nH]c3c([N+](=O)[O-])cc4[nH]ncc4c3c2c1,,5.64
91,,CC(C)(O)c1cc2nc(-c3cccc4c3cn[nH]4)nc(N3CCOCC3)c2s1,,5.85
92,,CC(=O)OC1CC2(C)C3CCC4C(C)(C)C(=NO)CCC45CC35CCC2(C)C1C1(C)CCC(C(C)(C)OC(C)=O)O1,,4.9
93,,C=C(C)C1CCC2(COC3OC(CO)C(O)C(O)C3O)CCC3(C)C(CCC4C5(C)CCC(OC6OC(C)C(O)C(O)C6O)C(C)(C)C5CCC43C)C12,,5.16
94,,O=C1c2c(NC(c3ccccc3Cl)N1N=Cc1ccccc1Cl)n(Cc1ccccc1)nc2,,4.74
95,,CC(C)n1ncnc1-c1nc2c(CCOc3cc(C4CN(CC(C)(C)O)C4)ccc3-2)s1,,6.0
96,,O=C(CCCCCc1ccccc1)CC(=O)NC1CCOC1=O,,5.05
97,,O=C(CCl)Nc1ccc2C(=O)c3ccccc3C(=O)c2c1NC(=O)c1cccc(C(F)(F)F)c1,,5.25
98,,CCOC(=O)c1cc2cc(Nc3ncnc4cc(OCCCN5CCCCC5)c(OC)cc34)ccc2s1,,5.22
99,,Nc1c(C(=O)NCc2ccccc2)c(-c2ccc(Cl)cc2)c(-c2ccc(F)cc2)s1,,4.59
100,,COc1cc2nc(N3CCN(C(=O)c4ccc(C#N)cc4)CC3)nc(N)c2cc1OC,,4.17
101,,O=c1[nH]c2ncc(-c3ccc(-c4ncc[nH]4)cc3)nc2n1CC1CCOCC1,,6.04
102,,Nc1c(C(=O)NC2CCC2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)s1,,4.61
