,ids,mols,X,y
0,,Cc1cc(Cl)ccc1NC(=O)C1C(=O)N(c2ccc(Cl)cc2C)C(=O)/C1=N\NC(N)=S,,4.45
1,,C[C@H]1C[C@@H](O)[C@]2(O)O[C@@H]3CC4(C=O)C5CCC6(C)[C@@H](C7=CC(=O)OC7)CC[C@]6(O)C5CC[C@@H]4C[C@H]3O[C@@H]2O1,,8.1
2,,COc1ccc(NC2=Nn3c(nnc3-c3cc(F)c(Cl)cc3Cl)SC2)cc1,,5.82
3,,CCOC(=O)/C(I)=C/c1cc(OC)c(OC)c(OC)c1,,5.31
4,,CSCC(CO)NC(=O)/C=C/c1c(C)[nH]c(=O)[nH]c1=O,,3.06
5,,COc1cc([C@@H]2c3cc4c(cc3[C@@H](Nc3ccc(/N=C\c5ccc(C(=O)O[C@@H](C(=O)O[C@H]6C[C@@]7(O)[C@@H](OC(=O)c8ccccc8)[C@H]8[C@](C)(C(=O)[C@H](OC(C)=O)C(=C6C)C7(C)C)[C@@H](O)C[C@H]6OC[C@]68OC(C)=O)[C@@H](NC(=O)c6ccccc6)c6ccccc6)cc5)cc3)[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,,6.145
6,,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4OCOc4c3)cc2-c2cccc3ccccc23)CC1,,4.773333333333333
7,,Cc1ccc(NC(=O)c2ccnc(N3CCCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1,,4.6
8,,CCOC(=O)c1c2nnc(C(N)=O)c(N)n2c2ccccc12,,4.0
9,,COc1ccc(N2C(=O)C3c4c(c5cc(OCc6ccccc6)ccc5[nH]4)C4CCC(c5ccccc5)CC4C3C2=O)cc1,,5.015000000000001
10,,COC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(CNC(=O)/C=C/c2ccc(OCc3ccccc3)cc2)cc1,,4.57
11,,O=[N+]([O-])C1=Cc2c(O)ccc(O)c2C2OC=CC12,,4.675
12,,CCN(CC)c1ccc(/C=C/C=C(/C#N)C(N)=S)cc1,,5.23
13,,O=C(O)/C(O)=C\C(=O)c1ccc(Br)cc1,,4.0
14,,COc1cc2c3cc1Oc1c(OC)c(OC)cc4c1C(=NCC4)Cc1ccc(cc1)Oc1cc(ccc1O)C[C@H]3N(C)CC2,,4.43
15,,CC1CCN(c2c(C#N)c(=O)oc(-c3cc4ccccc4o3)c2)CC1,,4.0
16,,CC1OC(O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6coc(=O)cc6)CC[C@]45O)[C@@]3(C)CC2)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,,8.0
17,,CC(C)C(C/C=C1\CC(CO)(COC(=O)CC(C(C)C)C(C)C)OC1=O)C(C)C,,5.43
18,,COc1cccc2c1[C@H]1CO[C@H]3[C@H]4C[C@H](C(=O)O)[C@@H]([C@@H](C2)N13)N4C,,5.058571428571428
19,,O=C(O)CCNc1ncnc2c1[nH]cn2,,4.0
20,,COC(=O)c1ccccc1/C=C1\Cc2cc(C)cc(C)c2C1=O,,4.0
21,,c1ccc2c(-c3cnc(-c4c[nH]c5ccccc45)cn3)c[nH]c2c1,,4.0
22,,NNC(=S)N/N=C/c1ccccn1,,5.5
23,,O=C(/C=C/c1cc(F)ccc1F)OCCc1ccccc1,,4.0
24,,O=C(Nc1cc2cc([N+](=O)[O-])ccc2oc1=O)c1cccs1,,4.36
25,,O=S(O)CCCCSSCC(O)C(O)CSSCCCCS(=O)O,,4.46
26,,CN(C)c1ccc(/C=C/c2cc[n+](C)c3ccccc23)cc1,,5.415
27,,O=C(Nc1nnc(S)[nH]1)C(=O)C(C(=O)c1ccc2ccccc2c1)C1OC(=O)c2ccccc21,,4.43
28,,c1ccc2c3nnc(SCCSCCCSCCS3)c2c1,,4.04
29,,NNS(=O)(=O)c1cc(C(=O)O)cc(C(=O)O)c1,,4.0
30,,N#CCCN(CCC#N)c1ccc(C(Sc2ccccc2)C(NC(=O)c2cc([N+](=O)[O-])ccc2Cl)C(=O)Sc2ccccc2)cc1,,5.779999999999999
31,,c1ccc2c(NCCCCCCNc3cccc4ccccc34)cccc2c1,,4.38
32,,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COc1c2cc(C(C)(C)C)cc1Cc1c(OCC(=O)N(CCCCCCCCCC)CCCCCCCCCC)c(cc(C(C)(C)C)c1)Cc1c(OCC(=O)N(CCCCCCCCCC)CCCCCCCCCC)c(cc(C(C)(C)C)c1)Cc1cc(C(C)(C)C)cc(c1OCC(=O)N(CCCCCCCCCC)CCCCCCCCCC)C2,,4.8
33,,C=C1C(=O)OC2CC(C)C(C(O)CC(C)O)=CCC12,,4.59
34,,COc1cc(O)c2c(=O)c(OC)c(-c3ccc4OCOc4c3)oc2c1,,4.54
35,,S=C(N/N=C/c1ccccn1)Nc1ccccn1,,5.63
36,,CC[C@@]1(C2O[C@@H](C3O[C@@](O)(CC)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CCC3(C[C@H](O)[C@@H](C)[C@@H]([C@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1,,7.465
37,,N=c1oc2ccccc2cc1-c1nc2ccccc2c(=O)[nH]1,,4.11
38,,CC(C)(c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1,,4.5
39,,COc1ccc(C(=O)C#Cc2cnc(OC)nc2OC)cc1,,3.155
40,,CCN(CCCl)c1cccc(NC(=O)c2ccc(C(=O)Nc3cccc(CN(C)C)c3)cc2)c1,,6.68
41,,CCSc1c(C)c2c(Cc3ccccc3C2)n(Cc2ccc(OC)cc2)c1=O,,4.66
42,,COC(=O)c1c(C)ccc2c(O)c3c(cc12)C(=O)c1c2OC4(C)OC(C)(c2cc(O)c1C3=O)C(O)C(N(C)C)C4O,,5.89
43,,CCCCCCCCCCCCCCCC1(OC)C[N+](C)(C)CCO1,,5.77
44,,C1CN(c2nnc(N3CCC3)nn2)C1,,4.0
45,,COc1ccc(OC)c(-c2cc(=O)c3cc4c(cc3[nH]2)OCO4)c1,,5.23
46,,CCCCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC,,4.6675
47,,O=C(Nc1ccc(-n2ccc3c(NC(=O)c4ccccc4)ncnc32)cc1)Nc1cccc(Cl)c1Cl,,6.02
48,,CCCCCCCCCCCCSC1=C(Cl)C(=O)C(OC)=C(OC)C1=O,,5.355
49,,C/C(=N/NC(=N)N)c1ccc(NC(=O)Nc2ccc(/C(C)=N/NC(=N)N)cc2)cc1,,4.715
50,,COc1ccc(NC(=O)c2cc(OC)c(OC)c(OC)c2)cc1O,,5.34
51,,C/C(Cl)=N\OC(=O)Nc1ccc([N+](=O)[O-])cc1,,4.665
52,,CN(CO)c1nc(N(C)CO)nc(N(C)CO)n1,,4.812
53,,COc1c(-c2ccccc2)nc2ccc(Oc3ccccc3)nn12,,4.24
54,,O=C(O)C1C2CCC(O2)C1C(=O)N1CCCCC1,,4.64
55,,COC(=O)c1c(C)cccc1C1CN=NC12Cc1ccc(C)c(C)c1C2=O,,4.74
56,,O=C(NNC(=S)NC1CCCCC1)c1csc(NC(=S)NC2CCCCC2)n1,,5.1
57,,CCN(CC)CCOc1ccc(/C=C2\CC3C4CCC5=CC(=O)CC[C@]5(C)C4CC[C@]3(C)C2=O)cc1OC,,5.34
58,,c1ccc(-c2cn3c(nc4ccccc43)c(-c3ccccc3)n2)cc1,,4.165
59,,C[C@H]1CCC/C=C/[C@@H]2C[C@H](O)C[C@H]2[C@H](O)[C@H]([Se]c2ccccc2)CC(=O)O1,,4.984999999999999
60,,C[C@@H](c1ccccc1)n1c(N)c(C#N)c2ccc([N+](=O)[O-])cc2c1=O,,4.0
61,,CCSC(=O)N1c2ccc(OC)cc2C=CC1C#N,,7.6825
62,,COc1cc(Cn2c(-c3ccccc3)c(Cl)c3c2-c2c(cno2)CC3)cc(OC)c1,,5.07
63,,CC(C)OP(=O)(OC(C)C)/C(Cl)=N/Nc1ccc([N+](=O)[O-])cc1,,4.0
64,,COc1cc(O)c(C(=O)/C=C/c2ccc(OC)c(OCc3ccccc3)c2)c(OC)c1,,4.19
65,,COc1ccc2NC(=O)/C(=C\c3cc(OC)c(OC)c(OC)c3)c2c1,,6.220000000000001
66,,CC(C)(C)OC(=O)N[C@H]1CC2(C=C(Cl)C(=O)C(Cl)=C2)OC1=O,,4.416666666666667
67,,Cc1ccc2nc(N/N=C/c3cccc(C)n3)cc(C)c2c1,,4.8
68,,COc1ccc2nc3ccc(OC)cc3c(SCCCN)c2c1,,4.89
69,,O=C(O)CC12CC3CC(CC(O)(C3)C1)C2,,4.0
70,,COc1ccc(/C=C2\CCC(C)C3=C2NC(=S)NC3c2ccc(OC)c(OC)c2)cc1OC,,4.77
71,,CCCCC1CCCCCCc2c1cc(/C=C1\N=C(c3ccc[nH]3)C=C1OC)[nH]2,,7.855
72,,C#Cc1cccc(N2C(=O)c3c(C2=O)c(-c2ccccc2)c(-c2ccc(Cc4ccc(-c5c(-c6ccccc6)c6c(C(=O)N(c7cccc(C#C)c7)C6=O)c(-c6ccccc6)c5-c5ccccc5)cc4)cc2)c(-c2ccccc2)c3-c2ccccc2)c1,,4.61
73,,Cn1c(=O)c2c(nc(C(=N)SCC(=O)O)n2C)n(C)c1=O,,4.4
74,,Cc1ccc(N2C(=O)C(=O)N(/N=C3\C(=O)Nc4ccccc34)C2=S)cc1,,4.0
75,,CCCCCCCCCC[n+]1cn(C)cc1,,5.425000000000001
76,,NC1=C(Cl)C(=O)c2ccc(S(N)(=O)=O)cc2C1=O,,6.795
77,,Cc1ccc(-n2cc(-c3ccc(Cl)cc3)c3c2N=CN2N=C(c4ccco4)NC32)cc1,,4.82
78,,COc1ccc2c(c1)c1c(C)c3cnccc3c(C)c1n2CCCN,,6.852857142857142
79,,COc1cc(Cl)cc(-c2nn(-c3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)cc2-c2ccncc2)c1,,5.44
80,,O=S(=O)(O)c1cc(O)c(/N=N/c2ccc3ccccc3c2O)c2ccccc12,,4.68
81,,COC(=O)[C@]12OC[C@@]34[C@H]1[C@H](OC(C)=O)C(=O)O[C@@H]3C[C@H]1C(C)=CC(=O)[C@@H](O)[C@]1(C)[C@H]4[C@@H](O)[C@@H]2O,,7.42
82,,CCOC(=O)c1c(C)n(Cc2ccc(Cl)cc2Cl)c2c1c(CN(C)C)c(O)c1c2nc[nH]1,,4.8
83,,COC1=CC(=O)c2c(O)c3c(C=C(C)OC3O)c(O)c2C1=O,,5.846666666666667
84,,CN(C)c1ccc(/C=C2\C[N+](C)(C)C/C(=C\c3ccc(N(C)C)cc3)C2=O)cc1,,4.683333333333334
85,,CC(CN(C)C)Nc1c2ccccc2nc2cccc([N+](=O)[O-])c12,,6.83
86,,O=C1N2CCC[C@H]2CS1(=O)=O,,4.64
87,,CC(C)CNC(=O)Cn1c2c(CCCC2)c2ccccc21,,4.3
88,,CSc1nc(Cl)c2c(n1)Sc1ncnn1C2O,,4.7
89,,CN(CCNC(=O)c1n[nH]c2c1ccc1ccccc12)CCNC(=O)c1n[nH]c2c1ccc1ccccc12,,5.6850000000000005
90,,O=C1c2cccnc2-c2nc(-c3ccccc3)cc3c4ccccc4nc1c23,,5.154999999999999
91,,Cc1ccc(/N=N/C(=N/NC(=O)c2ccccc2)c2ccc(N(CCC#N)CCC#N)cc2C)cc1,,4.46
92,,CCN1c2cc(Br)cc3c2n(CCC1C)c(=O)[nH]3,,4.82
93,,CC(C)/C(Cl)=N\OC(=O)Nc1ccc(C#N)cc1,,4.705
94,,COc1cc([C@@H]2c3cc4c(cc3[C@@H](/N=C/c3ccc(C(=O)O[C@@H](C(=O)O[C@H]5C[C@@]6(O)[C@@H](OC(=O)c7ccccc7)[C@H]7[C@](C)(C(=O)[C@H](OC(C)=O)C(=C5C)C6(C)C)[C@@H](O)C[C@H]5OC[C@]57OC(C)=O)[C@@H](NC(=O)c5ccccc5)c5ccccc5)cc3)[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,,7.574999999999999
95,,COC1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)C(O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,,4.345555555555555
96,,CN(CCCNC(=O)CCOCCOCCOCCNC(=O)Cc1ccc2ccc3cccc4ccc1c2c34)CCCNc1cc(-c2ccc3ccccc3c2)nc2ccccc12,,6.205
97,,CC(=O)OCC1C(=O)OCC1C(=O)N1Cc2cc3ccccc3nc2C1,,4.815
98,,Cc1c(-c2ccccc2)nc(NC=C2C(=O)CC(C)(C)CC2=O)s1,,4.0
99,,CN(CCCNc1ccc2ncn3c4ccccc4c(=O)c1c23)CCCN1C(=O)c2cccc3cc([N+](=O)[O-])cc(c23)C1=O,,8.2
100,,O=C1c2ccccc2C(=O)c2c(NCC3CO3)cccc12,,4.245
101,,CC1(C)OP(=O)(c2ccccc2)C=C1Br,,4.0
102,,CCCCCCC(=O)NC1=C(N2CC2)C(=O)C(NC(=O)CCCCCC)=C(N2CC2)C1=O,,5.55
103,,C=C1C(=O)C23C(C[C@@H](OC(C)=O)C1[C@H]2O)[C@]1(C)C(C[C@@H]3O)C(C)(C)CC[C@H]1O,,5.39
104,,N#Cc1cnc(N)nc1NCC1(CO)CC(CCc2ccccc2)C1,,4.845
105,,CCCCCCCCCCCC[S+](C)C,,4.94
