model,model_dir,test_accuracy_score,test_prc_auc_score,test_precision_score,test_recall_score,test_roc_auc_score,train_accuracy_score,train_prc_auc_score,train_precision_score,train_recall_score,train_roc_auc_score,batch_size,batchnorm,char_dict,dense_layer_size,dropout,dropouts,epochs,fully_connected_layer_sizes,graph_attention_layers,graph_conv_layers,graph_feat_size,hidden_dropout,hlayers_sizes,input_dim,kernel_sizes,l2,learning_rate,n_attention_heads,n_embedding,n_graph_feat,n_hidden,n_weave,num_filters,num_layers,num_timesteps,predictor_dropout,predictor_hidden_feats,seq_length,task_type
ECFP4,../pacbb21_analysis/results/2021-05-09_16-07-23,0.8046647230320699,0.8552113530875288,0.8384955752212391,0.7475345167652859,0.8038438867351335,0.9991670137442732,0.9995726112713232,1.0,0.9983122362869198,0.9991561181434598,256,True,,,,,100,,,,,0.5,"[256, 128, 64, 32]",1024.0,,0.0001,0.01,,,,,,,,,,,,classification
ECFP6,../pacbb21_analysis/results/2021-05-09_16-18-43,0.8007774538386784,0.8480759687186652,0.8032128514056225,0.7889546351084813,0.8006075857534743,0.9991670137442732,0.9995726112713232,1.0,0.9983122362869198,0.9991561181434598,256,True,,,,,100,,,,,0.5,"[512, 256, 128]",1024.0,,0.0001,0.0001,,,,,,,,,,,,classification
Mol2vec,../pacbb21_analysis/results/2021-05-09_16-46-11,0.4956268221574344,0.7470760233918129,0.4941520467836257,1.0,0.5028735632183908,0.4943773427738442,0.7469779074614422,0.4939558149228845,1.0,0.5008223684210527,256,False,,,,,100,,,,,0.0,"[32, 16]",300.0,,0.001,0.001,,,,,,,,,,,,classification
GraphConv,../pacbb21_analysis/results/2021-05-09_16-02-09,0.815354713313897,0.8578553118408764,0.8007590132827325,0.8323471400394478,0.8155988573760456,0.9991670137442732,0.9995726112713232,1.0,0.9983122362869198,0.9991561181434598,256,,,256.0,0.0,,100,,,"[64, 64]",,,,,,,0.01,,,,,,,,,,,,classification
TextCNN,../pacbb21_analysis/results/2021-05-09_19-44-17,0.8163265306122449,0.8592472501865285,0.810546875,0.8185404339250493,0.8163583395678886,0.9987505206164098,0.999150313974026,0.9991554054054054,0.9983122362869198,0.9987449339329336,256,,"{'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'g': 34, 'i': 35, 'u': 36, 'e': 37, 't': 38, 'G': 39, 'R': 40, '9': 41, 'A': 42, '%': 43, '0': 44, 'a': 45, 'Z': 46, 'B': 47, 'h': 48, 'p': 49, 'b': 50}",,0.25,,100,,,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20]",,0.0001,,32.0,,,,"[100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160]",,,,,484.0,classification
Weave,../pacbb21_analysis/results/2021-05-09_19-40-19,0.5072886297376094,0.7463556851311953,0.0,0.0,0.5,0.5064556434818825,0.7467721782590587,0.0,0.0,0.5,256,,,,,0.0,100,[1024],,,,,,,,,0.001,,,256.0,64.0,3.0,,,,,,,classification
MACCS,../pacbb21_analysis/results/2021-05-10_09-58-45,0.7968901846452867,0.8440705655834752,0.7641843971631206,0.8500986193293886,0.7976546736493688,0.9633486047480216,0.9698412055065022,0.9529314616019818,0.9738396624472574,0.9634823312236288,256,True,,,,,100,,,,,0.25,"[64, 32, 16, 8]",167.0,,0.0,0.001,,,,,,,,,,,,classification
RDKitFP,../pacbb21_analysis/results/2021-05-10_10-17-32,0.7687074829931972,0.8256255024554923,0.7252931323283082,0.854043392504931,0.7699335736471016,0.9808413161182841,0.9814787385079156,0.9633848657445078,0.99915611814346,0.9810747695980458,256,True,,,,,100,,,,,0.25,"[512, 256, 128]",1024.0,,0.0,0.0001,,,,,,,,,,,,classification
GCN,../pacbb21_paper/results/2021-05-19_13-15-38,0.8241010689990281,0.8643332890291289,0.8087121212121212,0.8422090729783037,0.8243612414699948,0.9629321116201582,0.9689755068954063,0.9499178981937604,0.9763713080168775,0.9631034171663336,256,,,,0.0,,100,,,"[128, 128, 128, 128]",,,,,,,0.001,,,,,,,,,0.25,64.0,,classification
GAT,../pacbb21_paper/results/2021-05-19_13-19-27,0.8124392614188533,0.8592811098249062,0.8326271186440678,0.7751479289940828,0.8119034664127502,0.8742190753852561,0.9127207752478356,0.9169027384324836,0.8194092827004219,0.8735204308238951,256,,,,0.0,,100,,"[16, 16, 16]",,,,,,,,0.001,8.0,,,,,,,,0.25,256.0,,classification
