,params,mean_train_score,mean_test_score,std_train_score,std_test_score,split0_train_score,split0_test_score,split1_train_score,split1_test_score,split2_train_score,split2_test_score,split3_train_score,split3_test_score,split4_train_score,split4_test_score
0,"{'task_type': 'regression', 'n_weave': 3, 'n_hidden': 64, 'n_graph_feat': 256, 'learning_rate': 0.001, 'fully_connected_layer_sizes': [1024], 'epochs': 100, 'dropouts': 0.0, 'batch_size': 256}",25.075311518154543,25.069052361619935,1.012444154898532,0.7574055591070906,25.07094123404675,25.768337582863637,25.640214482705225,25.22415792276243,24.987694083379925,24.966863645388955,23.308073025056732,23.67759133297538,26.36963476558409,25.708311324109268
1,"{'task_type': 'regression', 'n_weave': 2, 'n_hidden': 64, 'n_graph_feat': 128, 'learning_rate': 0.001, 'fully_connected_layer_sizes': [256], 'epochs': 100, 'dropouts': 0.25, 'batch_size': 256}",18.90694277023352,18.98123052627681,6.667886219745112,6.560145695918237,21.7444578988926,22.397775065181204,23.192640783603487,22.796707652849765,5.662708827844966,6.002503076147392,22.900634045224663,23.266538721761265,21.034272295601873,20.44262811544443
2,"{'task_type': 'regression', 'n_weave': 2, 'n_hidden': 64, 'n_graph_feat': 256, 'learning_rate': 0.01, 'fully_connected_layer_sizes': [2048], 'epochs': 100, 'dropouts': 0.0, 'batch_size': 256}",20.00699732808201,20.128278928679553,9.910170723742828,9.76468641230024,23.50444418383351,24.181491590194238,0.818805775780945,1.086265006932629,21.98350420901677,21.96427008913522,24.345004246512858,24.723572387102756,29.383228225265963,28.68579557003291
3,"{'task_type': 'regression', 'n_weave': 4, 'n_hidden': 32, 'n_graph_feat': 128, 'learning_rate': 0.0001, 'fully_connected_layer_sizes': [1024], 'epochs': 100, 'dropouts': 0.5, 'batch_size': 256}",29.68320700615456,29.683292151418197,0.10933650911958016,0.44136089992680677,29.538529036298684,30.290560734434873,29.678613910194596,29.231436254153106,29.739677223350345,29.716514546606653,29.604458188641626,30.026097598038763,29.85475667228755,29.15185162385759
4,"{'task_type': 'regression', 'n_weave': 4, 'n_hidden': 128, 'n_graph_feat': 128, 'learning_rate': 0.001, 'fully_connected_layer_sizes': [256], 'epochs': 100, 'dropouts': 0.0, 'batch_size': 256}",22.13670343906013,22.138576216437666,0.4172879573038573,0.7024642156698208,22.77675321758731,23.44410620345633,21.84628981530177,21.461903448520395,21.689491145021112,21.670419256166962,21.892333686626724,22.249147620110254,22.47864933076373,21.86730455393441
5,"{'task_type': 'regression', 'n_weave': 4, 'n_hidden': 64, 'n_graph_feat': 256, 'learning_rate': 0.0001, 'fully_connected_layer_sizes': [512], 'epochs': 100, 'dropouts': 0.25, 'batch_size': 256}",29.69225252156367,29.692624656634116,0.09476322437392506,0.48070311399961024,29.674026197036845,30.427645219820825,29.775608509119515,29.32771141160478,29.751289425224794,29.72812129697968,29.515221641971774,29.93616515647635,29.745116834465417,29.04348019828895
6,"{'task_type': 'regression', 'n_weave': 3, 'n_hidden': 128, 'n_graph_feat': 128, 'learning_rate': 0.01, 'fully_connected_layer_sizes': [256], 'epochs': 100, 'dropouts': 0.0, 'batch_size': 256}",5.952482985527181,5.971122868188593,0.981108513293021,1.2017821008449459,7.3447169260119045,7.742360409590793,4.987613209938007,4.808302274847935,5.068177796512845,5.061898361276792,6.9079979695131675,7.0859008310837845,5.453909025659975,5.157152464143663
7,"{'task_type': 'regression', 'n_weave': 4, 'n_hidden': 32, 'n_graph_feat': 256, 'learning_rate': 0.01, 'fully_connected_layer_sizes': [1024], 'epochs': 100, 'dropouts': 0.25, 'batch_size': 256}",15.372753433581432,15.356023413814706,4.249503758792163,4.098058627258785,11.910736641842234,12.407017775949244,10.10256411909269,9.84156684586944,20.515522389900053,20.49711012088716,14.197551703337723,14.47608001117804,20.137392313734452,19.558342315189634
8,"{'task_type': 'regression', 'n_weave': 2, 'n_hidden': 64, 'n_graph_feat': 128, 'learning_rate': 0.0001, 'fully_connected_layer_sizes': [512], 'epochs': 100, 'dropouts': 0.5, 'batch_size': 256}",29.611478690108537,29.611520800523305,0.1177318544646034,0.4373270795974533,29.44370352898773,30.19462211441999,29.642545821935467,29.19563600640905,29.729795977452447,29.70663794046049,29.50660788241922,29.927484166289958,29.73474023974782,29.033223775037033
9,"{'task_type': 'regression', 'n_weave': 3, 'n_hidden': 64, 'n_graph_feat': 256, 'learning_rate': 0.001, 'fully_connected_layer_sizes': [256], 'epochs': 100, 'dropouts': 0.5, 'batch_size': 256}",21.623914481117005,21.623556366737706,0.42499838803359136,0.5251675405951362,21.612431960125438,22.263928944604334,22.376802851713126,21.98782313433762,21.058792640545537,21.040072714018173,21.510825716517463,21.86414267023371,21.56071923668345,20.9618143704947
