model,model_dir,test_mean_squared_error,test_pearson_score,test_r2_score,test_spearman_score,train_mean_squared_error,train_pearson_score,train_r2_score,train_spearman_score,batch_size,batchnorm,char_dict,dense_layer_size,dropout,dropouts,epochs,fully_connected_layer_sizes,graph_attention_layers,graph_conv_layers,graph_feat_size,hidden_dropout,hlayers_sizes,input_dim,kernel_sizes,l2,learning_rate,n_attention_heads,n_embedding,n_graph_feat,n_hidden,n_weave,num_filters,num_layers,num_timesteps,predictor_dropout,predictor_hidden_feats,seq_length,task_type
ECFP4,../pacbb21_analysis/results/2021-05-09_16-05-39,0.7388673841298729,0.7843794961406363,0.5025146868789543,0.7498866549361746,0.3446238392123953,0.9153016011527088,0.7536632698503802,0.9087766433109252,256,True,,,,,100,,,,,0.25,"[128, 64, 32]",1024.0,,0.001,0.01,,,,,,,,,,,,regression
ECFP6,../pacbb21_analysis/results/2021-05-09_16-17-38,0.7993305794762575,0.7724408763956974,0.461804334364723,0.7330750733841407,0.33417366590783226,0.920828151799455,0.7611330418987275,0.9064359784425302,256,True,,,,,100,,,,,0.25,"[128, 64, 32]",1024.0,,0.001,0.01,,,,,,,,,,,,regression
Mol2vec,../pacbb21_analysis/results/2021-05-09_16-45-29,2.131622163100047,-0.02919151337837335,-0.4352382336032159,-0.08893079462196937,1.9897740756395093,-0.03327405114566988,-0.4222882568127613,-0.02773331151289899,256,True,,,,,100,,,,,0.5,"[256, 128, 64]",300.0,,0.01,0.01,,,,,,,,,,,,regression
GraphConv,../pacbb21_analysis/results/2021-05-09_16-01-14,0.5837188799790417,0.7855775929717494,0.6069774143258209,0.7454160543302744,0.07732960989421213,0.9728322434363472,0.9447248823859056,0.9667454510681032,256,,,512.0,0.0,,100,,,"[64, 64, 64]",,,,,,,0.001,,,,,,,,,,,,regression
TextCNN,../pacbb21_analysis/results/2021-05-09_19-43-53,0.5818290432092739,0.8012494064665983,0.6082498565222818,0.7601759375253168,0.04631783373757032,0.9909149937789588,0.9668920648768732,0.9890569476867138,256,,"{'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, '9': 34}",,0.25,,100,,,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20]",,0.001,,64.0,,,,"[100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160]",,,,,465.0,regression
Weave,../pacbb21_analysis/results/2021-05-09_19-39-33,5.621791617451488,,-2.7851972128973133,,5.1613936169736645,,-2.6893583146371065,,256,,,,,0.0,100,[256],,,,,,,,,0.01,,,128.0,128.0,3.0,,,,,,,regression
MACCS,../pacbb21_analysis/results/2021-05-10_09-57-59,0.5741656612032471,0.7868713157052402,0.6134096728556608,0.7532913790206675,0.19736714967644428,0.9306163226354198,0.8589221848338773,0.9257938247504406,256,False,,,,,100,,,,,0.0,"[128, 64]",167.0,,0.001,0.001,,,,,,,,,,,,regression
RDKitFP,../pacbb21_analysis/results/2021-05-10_10-17-09,0.5524160082003864,0.7968729676026012,0.628053887997387,0.7773083123488882,0.12508985096403274,0.9614767534007762,0.9105859161345132,0.95686331620389,256,False,,,,,100,,,,,0.0,"[512, 256]",1024.0,,0.001,0.001,,,,,,,,,,,,regression
GCN,../pacbb21_paper/results/2021-05-19_21-29-07,0.6734772355913198,0.7571560147001533,0.5465423963427352,0.7336480848093466,0.44807994844745896,0.8430606267321559,0.6797129600830376,0.8275416369529464,256,,,,0.0,,100,,,"[32, 32]",,,,,,,0.001,,,,,,,,,0.0,64.0,,regression
GAT,../pacbb21_paper/results/2021-05-19_21-38-43,0.7988452374609784,0.7073601541969524,0.4621311190213855,0.6913608123724468,0.6563342638007829,0.7433695162046086,0.5308530112155178,0.7288074099691921,256,,,,0.0,,100,,"[32, 32]",,,,,,,,0.001,4.0,,,,,,,,0.5,64.0,,regression
AtomPair,../pacbb21_paper/results/2021-05-20_14-11-12,0.5509931798179679,0.7983445643620439,0.6290118897153524,0.7609337716683828,0.028595848622634968,0.990341458013653,0.9795597197754738,0.9889253703593864,256,False,,,,,100,,,,,0.0,"[512, 256]",1024.0,,0.001,0.001,,,,,,,,,,,,regression
LayeredFP,../pacbb21_paper/results/2021-05-20_14-30-47,0.6661828774619145,0.7932624297742086,0.5514537459515662,0.7524500306030658,0.32046362758097346,0.9290553696697144,0.7709329617747954,0.9183796850495576,256,False,,,,,100,,,,,0.0,"[256, 128]",1024.0,,0.01,0.0001,,,,,,,,,,,,regression
AttentiveFP,../pacbb21_paper/results/2021-05-20_20-22-46,0.9668925703211714,0.5929863551536438,0.34898350714572723,0.5451279621823589,0.8466336842051688,0.6418617004658015,0.39482720093228596,0.6028553712596435,256,,,,0.0,,100,,,,200.0,,,,,,0.01,,,,,,,1.0,3.0,,,,regression
