model,model_dir,test_mean_squared_error,test_pearson_score,test_r2_score,test_spearman_score,train_mean_squared_error,train_pearson_score,train_r2_score,train_spearman_score,batch_size,batchnorm,char_dict,dense_layer_size,dropout,dropouts,epochs,fully_connected_layer_sizes,graph_attention_layers,graph_conv_layers,graph_feat_size,hidden_dropout,hlayers_sizes,input_dim,kernel_sizes,l2,learning_rate,n_attention_heads,n_embedding,n_graph_feat,n_hidden,n_weave,num_filters,num_layers,num_timesteps,predictor_dropout,predictor_hidden_feats,seq_length,task_type
ECFP4,../pacbb21_analysis/results/2021-05-09_16-04-44,0.5471646563377655,0.7680512788240291,0.46739191933692,0.7312538209699296,0.27860814341718404,0.921584673607593,0.7471010729660716,0.8996137725924109,256,True,,,,,100,,,,,0.25,"[128, 64, 32]",1024.0,,0.001,0.01,,,,,,,,,,,,regression
ECFP6,../pacbb21_analysis/results/2021-05-09_16-17-01,0.6558388697606445,0.7305917943764257,0.3616088363868406,0.6780812416190531,0.33049444189702176,0.9105655865606136,0.7000027037211195,0.8695426765815704,256,True,,,,,100,,,,,0.25,"[128, 64, 32]",1024.0,,0.001,0.01,,,,,,,,,,,,regression
Mol2vec,../pacbb21_analysis/results/2021-05-09_16-45-13,2.4781892768710194,-0.01341052287981006,-1.4122604027613246,0.0374336725791567,2.6010784663482776,0.015341341548328022,-1.3610578829547697,0.050943671997111764,256,True,,,,,100,,,,,0.5,"[64, 32, 16]",300.0,,0.01,0.01,,,,,,,,,,,,regression
GraphConv,../pacbb21_analysis/results/2021-05-09_15-59-19,0.4275156475576599,0.7739344863775666,0.5838578280564953,0.7309623137080173,0.052186362147279605,0.9790789395931762,0.9526292561625208,0.9674663144636916,256,,,512.0,0.0,,100,,,"[64, 64, 64]",,,,,,,0.001,,,,,,,,,,,,regression
TextCNN,../pacbb21_analysis/results/2021-05-09_19-43-40,0.3684488784790171,0.8063098701146474,0.6413532056280419,0.7731928363915129,0.04602044504576065,0.9813452896366904,0.9582261988793724,0.9719817095331564,256,,"{'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, '9': 34, '%': 35, '0': 36}",,0.5,,100,,,,,,,,"[3, 4, 5, 7, 10, 15]",,0.001,,75.0,,,,"[100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160]",,,,,379.0,regression
Weave,../pacbb21_analysis/results/2021-05-09_19-39-17,3.537500914859601,,-2.443390487276289,,3.717561227197226,,-2.3745145924658746,,256,,,,,0.25,100,[512],,,,,,,,,0.01,,,128.0,128.0,3.0,,,,,,,regression
MACCS,../pacbb21_analysis/results/2021-05-10_09-57-43,0.5094602505816621,0.7345968593428926,0.5040932503708161,0.6826314826018262,0.11340863614628985,0.9500802199188902,0.8970564103188059,0.9331114185139576,256,False,,,,,100,,,,,0.0,"[128, 64]",167.0,,0.001,0.001,,,,,,,,,,,,regression
RDKitFP,../pacbb21_analysis/results/2021-05-10_10-16-33,0.4454554641599348,0.7704626240830026,0.5663952760124046,0.7419032745828459,0.08119179396299234,0.9647549035208408,0.9263003682327612,0.958668063664457,256,False,,,,,100,,,,,0.0,"[512, 256]",1024.0,,0.001,0.001,,,,,,,,,,,,regression
GCN,../pacbb21_paper/results/2021-05-19_14-48-20,0.6171908390551786,0.642114644054693,0.3992286885045171,0.5946903809258001,0.5376889432653368,0.7227924267986571,0.511927558319089,0.6581008151377301,256,,,,0.0,,100,,,"[128, 128, 128, 128]",,,,,,,0.001,,,,,,,,,0.25,64.0,,regression
GAT,../pacbb21_paper/results/2021-05-19_21-28-11,0.7710079913411587,0.5962680687030664,0.2495036335266885,0.5436372250612242,0.7512938200495989,0.6588821887992343,0.3180335698470259,0.6054452816728761,256,,,,0.25,,100,,"[16, 16]",,,,,,,,0.01,8.0,,,,,,,,0.0,64.0,,regression
AtomPair,../pacbb21_paper/results/2021-05-20_14-01-43,0.4302516418796207,0.7688997228008176,0.5811946211632031,0.7323091326113461,0.011101155095665002,0.9952716186067404,0.9899232298880544,0.9948003608934586,256,False,,,,,100,,,,,0.0,"[512, 256]",1024.0,,0.001,0.001,,,,,,,,,,,,regression
LayeredFP,../pacbb21_paper/results/2021-05-20_14-30-31,0.4254289740355516,0.7985112527617988,0.5858889884516479,0.7643248887303022,0.18333782606550034,0.9436225466836164,0.8335800995333066,0.9268443681556476,256,False,,,,,100,,,,,0.0,"[256, 128]",1024.0,,0.01,0.0001,,,,,,,,,,,,regression
AttentiveFP,../pacbb21_paper/results/2021-05-20_20-22-23,0.7798622874535474,0.5824262390504922,0.24088489398746882,0.5235838490957507,0.7159698713012183,0.6587524931189264,0.35009791881937524,0.5763021977349724,256,,,,0.25,,100,,,,128.0,,,,,,0.01,,,,,,,2.0,4.0,,,,regression
