model,model_dir,test_mean_squared_error,test_pearson_score,test_r2_score,test_spearman_score,train_mean_squared_error,train_pearson_score,train_r2_score,train_spearman_score,AtomPair,AttentiveFP,ECFP4,ECFP6,GAT,GCN,GraphConv,LayeredFP,MACCS,RDKitFP,TextCNN,test_accuracy_score,test_prc_auc_score,test_precision_score,test_recall_score,test_roc_auc_score,train_accuracy_score,train_prc_auc_score,train_precision_score,train_recall_score,train_roc_auc_score
VotingEnsemble_109-balance,../pacbb21_paper/results/2021-09-22_22-02-48,,,,,,,,,"{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.5, 'hlayers_sizes': '[512, 256]', 'input_dim': 1024, 'l2': 0.0001, 'learning_rate': 0.0001, 'task_type': 'classification'}","{'batch_size': 256, 'dropout': 0.25, 'epochs': 100, 'graph_feat_size': 256, 'learning_rate': 0.001, 'num_layers': 1, 'num_timesteps': 4, 'task_type': 'classification'}","{'batch_size': 256, 'batchnorm': True, 'epochs': 100, 'hidden_dropout': 0.5, 'hlayers_sizes': '[256, 128, 64, 32]', 'input_dim': 1024, 'l2': 0.0001, 'learning_rate': 0.01, 'task_type': 'classification'}","{'batch_size': 256, 'batchnorm': True, 'epochs': 100, 'hidden_dropout': 0.5, 'hlayers_sizes': '[512, 256, 128]', 'input_dim': 1024, 'l2': 0.0001, 'learning_rate': 0.0001, 'task_type': 'classification'}","{'batch_size': 256, 'dropout': 0.0, 'epochs': 100, 'graph_attention_layers': [16, 16, 16], 'learning_rate': 0.001, 'n_attention_heads': 8, 'predictor_dropout': 0.25, 'predictor_hidden_feats': 256, 'task_type': 'classification'}","{'batch_size': 256, 'dropout': 0.0, 'epochs': 100, 'graph_conv_layers': [128, 128, 128, 128], 'learning_rate': 0.001, 'predictor_dropout': 0.25, 'predictor_hidden_feats': 64, 'task_type': 'classification'}","{'batch_size': 256, 'dense_layer_size': 256, 'dropout': 0.0, 'epochs': 100, 'graph_conv_layers': [64, 64], 'learning_rate': 0.01, 'task_type': 'classification'}","{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.5, 'hlayers_sizes': '[512, 256]', 'input_dim': 1024, 'l2': 0.0001, 'learning_rate': 0.0001, 'task_type': 'classification'}","{'batch_size': 256, 'batchnorm': True, 'epochs': 100, 'hidden_dropout': 0.25, 'hlayers_sizes': '[64, 32, 16, 8]', 'input_dim': 167, 'l2': 0.0, 'learning_rate': 0.001, 'task_type': 'classification'}","{'batch_size': 256, 'batchnorm': True, 'epochs': 100, 'hidden_dropout': 0.25, 'hlayers_sizes': '[512, 256, 128]', 'input_dim': 1024, 'l2': 0.0, 'learning_rate': 0.0001, 'task_type': 'classification'}","{'batch_size': 256, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'g': 34, 'i': 35, 'u': 36, 'e': 37, 't': 38, 'G': 39, 'R': 40, '9': 41, 'A': 42, '%': 43, '0': 44, 'a': 45, 'Z': 46, 'B': 47, 'h': 48, 'p': 49, 'b': 50}, 'dropout': 0.25, 'epochs': 100, 'kernel_sizes': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20], 'learning_rate': 0.0001, 'n_embedding': 32, 'seq_length': 484, 'num_filters': [100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160], 'task_type': 'classification'}",0.8561710398445093,0.8939217503970045,0.8778947368421053,0.8224852071005917,0.8556870479947403,0.9991670137442732,0.9995726112713232,1.0,0.9983122362869198,0.9991561181434598
VotingEnsemble_1-balance,../pacbb21_paper/results/2021-09-22_22-02-17,,,,,,,,,"{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.5, 'hlayers_sizes': '[512, 256]', 'input_dim': 1024, 'l2': 0.0001, 'learning_rate': 0.0001, 'task_type': 'classification'}","{'batch_size': 256, 'dropout': 0.25, 'epochs': 100, 'graph_feat_size': 256, 'learning_rate': 0.001, 'num_layers': 1, 'num_timesteps': 4, 'task_type': 'classification'}","{'batch_size': 256, 'batchnorm': True, 'epochs': 100, 'hidden_dropout': 0.0, 'hlayers_sizes': '[512, 256, 128, 64]', 'input_dim': 1024, 'l2': 0.0, 'learning_rate': 0.001, 'task_type': 'classification'}","{'batch_size': 256, 'batchnorm': True, 'epochs': 100, 'hidden_dropout': 0.5, 'hlayers_sizes': '[256, 128, 64, 32]', 'input_dim': 1024, 'l2': 0.0001, 'learning_rate': 0.01, 'task_type': 'classification'}","{'batch_size': 256, 'dropout': 0.0, 'epochs': 100, 'graph_attention_layers': [32, 32], 'learning_rate': 0.01, 'n_attention_heads': 4, 'predictor_dropout': 0.25, 'predictor_hidden_feats': 256, 'task_type': 'classification'}","{'batch_size': 256, 'dropout': 0.0, 'epochs': 100, 'graph_conv_layers': [128, 128], 'learning_rate': 0.0001, 'predictor_dropout': 0.0, 'predictor_hidden_feats': 128, 'task_type': 'classification'}","{'batch_size': 256, 'dense_layer_size': 2048, 'dropout': 0.0, 'epochs': 100, 'graph_conv_layers': [32, 32, 32], 'learning_rate': 0.0001, 'task_type': 'classification'}","{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.5, 'hlayers_sizes': '[512, 256]', 'input_dim': 1024, 'l2': 0.0001, 'learning_rate': 0.0001, 'task_type': 'classification'}","{'batch_size': 256, 'batchnorm': True, 'epochs': 100, 'hidden_dropout': 0.25, 'hlayers_sizes': '[64, 32, 16, 8]', 'input_dim': 167, 'l2': 0.0, 'learning_rate': 0.001, 'task_type': 'classification'}","{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.5, 'hlayers_sizes': '[512, 256]', 'input_dim': 1024, 'l2': 0.0001, 'learning_rate': 0.0001, 'task_type': 'classification'}","{'batch_size': 256, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'e': 34, 'i': 35, 'g': 36, 'Z': 37, 'B': 38, 'T': 39, 'G': 40, 'u': 41, 'A': 42, '9': 43, '%': 44, '0': 45, 'b': 46, 't': 47, 'R': 48, 'h': 49, 'a': 50, 'd': 51}, 'dropout': 0.0, 'epochs': 100, 'kernel_sizes': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20], 'learning_rate': 0.001, 'n_embedding': 75, 'seq_length': 484, 'num_filters': [100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160], 'task_type': 'classification'}",0.8622350674373795,0.8975714475661598,0.88125,0.8310412573673871,0.8616453923887973,0.9975227085053676,0.9974874371859296,0.9949748743718592,1.0,0.9975688816855752
VotingEnsemble_PC-3,../pacbb21_paper/results/2021-09-22_23-02-18,0.3379208545759649,0.830520165970277,0.6710690727424635,0.7972949511678241,0.1099431057593166,0.967226612408048,0.9002021508047782,0.9565465197407944,"{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.0, 'hlayers_sizes': '[512, 256]', 'input_dim': 1024, 'l2': 0.001, 'learning_rate': 0.001, 'task_type': 'regression'}","{'batch_size': 256, 'dropout': 0.25, 'epochs': 100, 'graph_feat_size': 128, 'learning_rate': 0.01, 'num_layers': 2, 'num_timesteps': 4, 'task_type': 'regression'}","{'batch_size': 256, 'batchnorm': True, 'epochs': 100, 'hidden_dropout': 0.25, 'hlayers_sizes': '[128, 64, 32]', 'input_dim': 1024, 'l2': 0.001, 'learning_rate': 0.01, 'task_type': 'regression'}","{'batch_size': 256, 'batchnorm': True, 'epochs': 100, 'hidden_dropout': 0.25, 'hlayers_sizes': '[128, 64, 32]', 'input_dim': 1024, 'l2': 0.001, 'learning_rate': 0.01, 'task_type': 'regression'}","{'batch_size': 256, 'dropout': 0.25, 'epochs': 100, 'graph_attention_layers': [16, 16], 'learning_rate': 0.01, 'n_attention_heads': 8, 'predictor_dropout': 0.0, 'predictor_hidden_feats': 64, 'task_type': 'regression'}","{'batch_size': 256, 'dropout': 0.0, 'epochs': 100, 'graph_conv_layers': [128, 128, 128, 128], 'learning_rate': 0.001, 'predictor_dropout': 0.25, 'predictor_hidden_feats': 64, 'task_type': 'regression'}","{'batch_size': 256, 'dense_layer_size': 512, 'dropout': 0.0, 'epochs': 100, 'graph_conv_layers': [64, 64, 64], 'learning_rate': 0.001, 'task_type': 'regression'}","{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.0, 'hlayers_sizes': '[256, 128]', 'input_dim': 1024, 'l2': 0.01, 'learning_rate': 0.0001, 'task_type': 'regression'}","{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.0, 'hlayers_sizes': '[128, 64]', 'input_dim': 167, 'l2': 0.001, 'learning_rate': 0.001, 'task_type': 'regression'}","{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.0, 'hlayers_sizes': '[512, 256]', 'input_dim': 1024, 'l2': 0.001, 'learning_rate': 0.001, 'task_type': 'regression'}","{'batch_size': 256, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, '9': 34, '%': 35, '0': 36}, 'dropout': 0.5, 'epochs': 100, 'kernel_sizes': [3, 4, 5, 7, 10, 15], 'learning_rate': 0.001, 'n_embedding': 75, 'seq_length': 379, 'num_filters': [100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160], 'task_type': 'regression'}",,,,,,,,,,
VotingEnsemble_CCRF-CEM,../pacbb21_paper/results/2021-09-22_23-11-33,0.4985943044089803,0.8397751598954597,0.6642924711836079,0.8169845144140322,0.14218639984783513,0.9691562307836884,0.8983653223459235,0.9657410616309732,"{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.0, 'hlayers_sizes': '[512, 256]', 'input_dim': 1024, 'l2': 0.001, 'learning_rate': 0.001, 'task_type': 'regression'}","{'batch_size': 256, 'dropout': 0.0, 'epochs': 100, 'graph_feat_size': 200, 'learning_rate': 0.01, 'num_layers': 1, 'num_timesteps': 3, 'task_type': 'regression'}","{'batch_size': 256, 'batchnorm': True, 'epochs': 100, 'hidden_dropout': 0.25, 'hlayers_sizes': '[128, 64, 32]', 'input_dim': 1024, 'l2': 0.001, 'learning_rate': 0.01, 'task_type': 'regression'}","{'batch_size': 256, 'batchnorm': True, 'epochs': 100, 'hidden_dropout': 0.25, 'hlayers_sizes': '[128, 64, 32]', 'input_dim': 1024, 'l2': 0.001, 'learning_rate': 0.01, 'task_type': 'regression'}","{'batch_size': 256, 'dropout': 0.0, 'epochs': 100, 'graph_attention_layers': [32, 32], 'learning_rate': 0.001, 'n_attention_heads': 4, 'predictor_dropout': 0.5, 'predictor_hidden_feats': 64, 'task_type': 'regression'}","{'batch_size': 256, 'dropout': 0.0, 'epochs': 100, 'graph_conv_layers': [32, 32], 'learning_rate': 0.001, 'predictor_dropout': 0.0, 'predictor_hidden_feats': 64, 'task_type': 'regression'}","{'batch_size': 256, 'dense_layer_size': 512, 'dropout': 0.0, 'epochs': 100, 'graph_conv_layers': [64, 64, 64], 'learning_rate': 0.001, 'task_type': 'regression'}","{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.0, 'hlayers_sizes': '[256, 128]', 'input_dim': 1024, 'l2': 0.01, 'learning_rate': 0.0001, 'task_type': 'regression'}","{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.0, 'hlayers_sizes': '[128, 64]', 'input_dim': 167, 'l2': 0.001, 'learning_rate': 0.001, 'task_type': 'regression'}","{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.0, 'hlayers_sizes': '[512, 256]', 'input_dim': 1024, 'l2': 0.001, 'learning_rate': 0.001, 'task_type': 'regression'}","{'batch_size': 256, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, '9': 34}, 'dropout': 0.25, 'epochs': 100, 'kernel_sizes': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20], 'learning_rate': 0.001, 'n_embedding': 64, 'seq_length': 465, 'num_filters': [100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160], 'task_type': 'regression'}",,,,,,,,,,
VotingEnsemble_nci60_a549atcc_gi50,../pacbb21_paper/results/2021-09-22_23-13-32,0.5491454704758675,0.7154428298557745,0.4866620581895199,0.6408009832820871,0.22193577910589346,0.9293773213281408,0.7912422859538981,0.906187396206543,"{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.25, 'hlayers_sizes': '[256, 128]', 'input_dim': 1024, 'l2': 0.0001, 'learning_rate': 0.001, 'task_type': 'regression'}","{'batch_size': 256, 'dropout': 0.25, 'epochs': 100, 'graph_feat_size': 256, 'learning_rate': 0.001, 'num_layers': 1, 'num_timesteps': 4, 'task_type': 'regression'}","{'batch_size': 256, 'batchnorm': True, 'epochs': 100, 'hidden_dropout': 0.5, 'hlayers_sizes': '[256, 128, 64, 32]', 'input_dim': 1024, 'l2': 0.0001, 'learning_rate': 0.01, 'task_type': 'regression'}","{'batch_size': 256, 'batchnorm': True, 'epochs': 100, 'hidden_dropout': 0.5, 'hlayers_sizes': '[256, 128, 64, 32]', 'input_dim': 1024, 'l2': 0.0001, 'learning_rate': 0.01, 'task_type': 'regression'}","{'batch_size': 256, 'dropout': 0.0, 'epochs': 100, 'graph_attention_layers': [16, 16], 'learning_rate': 0.001, 'n_attention_heads': 8, 'predictor_dropout': 0.25, 'predictor_hidden_feats': 128, 'task_type': 'regression'}","{'batch_size': 256, 'dropout': 0.0, 'epochs': 100, 'graph_conv_layers': [128, 128, 128, 128], 'learning_rate': 0.001, 'predictor_dropout': 0.25, 'predictor_hidden_feats': 64, 'task_type': 'regression'}","{'batch_size': 256, 'dense_layer_size': 512, 'dropout': 0.0, 'epochs': 100, 'graph_conv_layers': [64, 64, 64], 'learning_rate': 0.001, 'task_type': 'regression'}","{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.0, 'hlayers_sizes': '[256, 128]', 'input_dim': 1024, 'l2': 0.01, 'learning_rate': 0.0001, 'task_type': 'regression'}","{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.25, 'hlayers_sizes': '[64, 32]', 'input_dim': 167, 'l2': 0.0001, 'learning_rate': 0.001, 'task_type': 'regression'}","{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.0, 'hlayers_sizes': '[256, 128]', 'input_dim': 1024, 'l2': 0.01, 'learning_rate': 0.0001, 'task_type': 'regression'}","{'batch_size': 256, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, '@': 34, 'e': 35, 'A': 36, '*': 37, '.': 38, 'L': 39, 'a': 40, 'B': 41, 'g': 42, 't': 43, 'i': 44, 'R': 45, 'T': 46, 'u': 47, '9': 48, '%': 49, '0': 50, 'G': 51, 'V': 52, 'Z': 53, 'd': 54, 'b': 55, 'M': 56, 'h': 57, 'r': 58, 'p': 59}, 'dropout': 0.5, 'epochs': 100, 'kernel_sizes': [3, 4, 5, 7, 10, 15], 'learning_rate': 0.001, 'n_embedding': 75, 'seq_length': 484, 'num_filters': [100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160], 'task_type': 'regression'}",,,,,,,,,,
VotingEnsemble_1-balance (Top 5 models),../pacbb21_paper/results/2021-09-23_10-53-53,,,,,,,,,"{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.5, 'hlayers_sizes': '[512, 256]', 'input_dim': 1024, 'l2': 0.0001, 'learning_rate': 0.0001, 'task_type': 'classification'}","{'batch_size': 256, 'dropout': 0.25, 'epochs': 100, 'graph_feat_size': 256, 'learning_rate': 0.001, 'num_layers': 1, 'num_timesteps': 4, 'task_type': 'classification'}","{'batch_size': 256, 'batchnorm': True, 'epochs': 100, 'hidden_dropout': 0.0, 'hlayers_sizes': '[512, 256, 128, 64]', 'input_dim': 1024, 'l2': 0.0, 'learning_rate': 0.001, 'task_type': 'classification'}",,,,,"{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.5, 'hlayers_sizes': '[512, 256]', 'input_dim': 1024, 'l2': 0.0001, 'learning_rate': 0.0001, 'task_type': 'classification'}",,,"{'batch_size': 256, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'e': 34, 'i': 35, 'g': 36, 'Z': 37, 'B': 38, 'T': 39, 'G': 40, 'u': 41, 'A': 42, '9': 43, '%': 44, '0': 45, 'b': 46, 't': 47, 'R': 48, 'h': 49, 'a': 50, 'd': 51}, 'dropout': 0.0, 'epochs': 100, 'kernel_sizes': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20], 'learning_rate': 0.001, 'n_embedding': 75, 'seq_length': 484, 'num_filters': [100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160], 'task_type': 'classification'}",0.8516377649325626,0.8884342701796522,0.865979381443299,0.8251473477406679,0.8511370009024701,0.999587118084228,0.9995794785534062,0.9991589571068124,1.0,0.9995948136142624
VotingEnsemble_109-balance (Top 5 models),../pacbb21_paper/results/2021-09-23_10-54-41,,,,,,,,,,,,,"{'batch_size': 256, 'dropout': 0.0, 'epochs': 100, 'graph_attention_layers': [16, 16, 16], 'learning_rate': 0.001, 'n_attention_heads': 8, 'predictor_dropout': 0.25, 'predictor_hidden_feats': 256, 'task_type': 'classification'}","{'batch_size': 256, 'dropout': 0.0, 'epochs': 100, 'graph_conv_layers': [128, 128, 128, 128], 'learning_rate': 0.001, 'predictor_dropout': 0.25, 'predictor_hidden_feats': 64, 'task_type': 'classification'}","{'batch_size': 256, 'dense_layer_size': 256, 'dropout': 0.0, 'epochs': 100, 'graph_conv_layers': [64, 64], 'learning_rate': 0.01, 'task_type': 'classification'}","{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.5, 'hlayers_sizes': '[512, 256]', 'input_dim': 1024, 'l2': 0.0001, 'learning_rate': 0.0001, 'task_type': 'classification'}",,,"{'batch_size': 256, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'g': 34, 'i': 35, 'u': 36, 'e': 37, 't': 38, 'G': 39, 'R': 40, '9': 41, 'A': 42, '%': 43, '0': 44, 'a': 45, 'Z': 46, 'B': 47, 'h': 48, 'p': 49, 'b': 50}, 'dropout': 0.25, 'epochs': 100, 'kernel_sizes': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20], 'learning_rate': 0.0001, 'n_embedding': 32, 'seq_length': 484, 'num_filters': [100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160], 'task_type': 'classification'}",0.8454810495626822,0.8822834320420115,0.8466135458167331,0.8382642998027613,0.84537736062935,0.9954185755935028,0.9964020172170942,0.9949409780775716,0.9957805907172996,0.9954231900954918
VotingEnsemble_PC-3 (Top 5 models),../pacbb21_paper/results/2021-09-23_11-04-26,0.3084693410444053,0.8373382174545457,0.699737068587911,0.8111092866822441,0.029792109777015525,0.9872719739208872,0.9729570266530138,0.9831789570429532,"{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.0, 'hlayers_sizes': '[512, 256]', 'input_dim': 1024, 'l2': 0.001, 'learning_rate': 0.001, 'task_type': 'regression'}",,,,,,"{'batch_size': 256, 'dense_layer_size': 512, 'dropout': 0.0, 'epochs': 100, 'graph_conv_layers': [64, 64, 64], 'learning_rate': 0.001, 'task_type': 'regression'}","{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.0, 'hlayers_sizes': '[256, 128]', 'input_dim': 1024, 'l2': 0.01, 'learning_rate': 0.0001, 'task_type': 'regression'}",,"{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.0, 'hlayers_sizes': '[512, 256]', 'input_dim': 1024, 'l2': 0.001, 'learning_rate': 0.001, 'task_type': 'regression'}","{'batch_size': 256, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, '9': 34, '%': 35, '0': 36}, 'dropout': 0.5, 'epochs': 100, 'kernel_sizes': [3, 4, 5, 7, 10, 15], 'learning_rate': 0.001, 'n_embedding': 75, 'seq_length': 379, 'num_filters': [100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160], 'task_type': 'regression'}",,,,,,,,,,
VotingEnsemble_CCRF-CEM (Top 5 models),../pacbb21_paper/results/2021-09-23_11-08-18,0.4161729769631344,0.8491616736734758,0.7197874094810083,0.8249117743203207,0.040648104093605635,0.9875917748339892,0.9709447812081596,0.9854314154250912,"{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.0, 'hlayers_sizes': '[512, 256]', 'input_dim': 1024, 'l2': 0.001, 'learning_rate': 0.001, 'task_type': 'regression'}",,,,,,"{'batch_size': 256, 'dense_layer_size': 512, 'dropout': 0.0, 'epochs': 100, 'graph_conv_layers': [64, 64, 64], 'learning_rate': 0.001, 'task_type': 'regression'}",,"{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.0, 'hlayers_sizes': '[128, 64]', 'input_dim': 167, 'l2': 0.001, 'learning_rate': 0.001, 'task_type': 'regression'}","{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.0, 'hlayers_sizes': '[512, 256]', 'input_dim': 1024, 'l2': 0.001, 'learning_rate': 0.001, 'task_type': 'regression'}","{'batch_size': 256, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, '9': 34}, 'dropout': 0.25, 'epochs': 100, 'kernel_sizes': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20], 'learning_rate': 0.001, 'n_embedding': 64, 'seq_length': 465, 'num_filters': [100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160], 'task_type': 'regression'}",,,,,,,,,,
VotingEnsemble_nci60_a549atcc_gi50 (Top 5 models),../pacbb21_paper/results/2021-09-23_11-09-14,0.5417191581663671,0.7112087743640831,0.49360413106667067,0.636866427570266,0.17997318304372528,0.9376590034397493,0.8307132341023644,0.9062177547074378,"{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.25, 'hlayers_sizes': '[256, 128]', 'input_dim': 1024, 'l2': 0.0001, 'learning_rate': 0.001, 'task_type': 'regression'}","{'batch_size': 256, 'dropout': 0.25, 'epochs': 100, 'graph_feat_size': 256, 'learning_rate': 0.001, 'num_layers': 1, 'num_timesteps': 4, 'task_type': 'regression'}",,,,"{'batch_size': 256, 'dropout': 0.0, 'epochs': 100, 'graph_conv_layers': [128, 128, 128, 128], 'learning_rate': 0.001, 'predictor_dropout': 0.25, 'predictor_hidden_feats': 64, 'task_type': 'regression'}",,"{'batch_size': 256, 'batchnorm': False, 'epochs': 100, 'hidden_dropout': 0.0, 'hlayers_sizes': '[256, 128]', 'input_dim': 1024, 'l2': 0.01, 'learning_rate': 0.0001, 'task_type': 'regression'}",,,"{'batch_size': 256, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, '@': 34, 'e': 35, 'A': 36, '*': 37, '.': 38, 'L': 39, 'a': 40, 'B': 41, 'g': 42, 't': 43, 'i': 44, 'R': 45, 'T': 46, 'u': 47, '9': 48, '%': 49, '0': 50, 'G': 51, 'V': 52, 'Z': 53, 'd': 54, 'b': 55, 'M': 56, 'h': 57, 'r': 58, 'p': 59}, 'dropout': 0.5, 'epochs': 100, 'kernel_sizes': [3, 4, 5, 7, 10, 15], 'learning_rate': 0.001, 'n_embedding': 75, 'seq_length': 484, 'num_filters': [100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160], 'task_type': 'regression'}",,,,,,,,,,
