model,model_dir,test_mean_squared_error,test_pearson_score,test_r2_score,test_spearman_score,train_mean_squared_error,train_pearson_score,train_r2_score,train_spearman_score,batch_size,batchnorm,char_dict,dense_layer_size,dropout,epochs,graph_attention_layers,graph_conv_layers,graph_feat_size,hidden_dropout,hlayers_sizes,input_dim,kernel_sizes,l2,learning_rate,n_attention_heads,n_embedding,num_filters,num_layers,num_timesteps,predictor_dropout,predictor_hidden_feats,seq_length,task_type
ECFP4,../pacbb21_paper/results/2021-05-11_16-39-52,0.7299017301255757,0.6400489327916961,0.31769217445810216,0.5655893104776729,0.3889353495615652,0.8752628705240209,0.6341587876758992,0.8297220585678402,256,True,,,,100,,,,0.5,"[256, 128, 64, 32]",1024.0,,0.0001,0.01,,,,,,,,,regression
ECFP6,../pacbb21_paper/results/2021-05-11_16-43-58,0.7107876500761219,0.6366602527679142,0.33555990357491483,0.5504556387685119,0.3604868132766553,0.878160761923264,0.6609181115970851,0.8537061380376991,256,True,,,,100,,,,0.5,"[256, 128, 64, 32]",1024.0,,0.0001,0.01,,,,,,,,,regression
Mol2vec,../pacbb21_paper/results/2021-05-11_16-56-42,1.0156130003830584,0.2284286173657949,0.05061096681572885,0.17697985685462445,1.000552263351278,0.2488747057621027,0.058858359285974486,0.2156695380630349,256,True,,,,100,,,,0.0,"[256, 128, 64, 32]",300.0,,0.0,0.001,,,,,,,,,regression
MACCS,../pacbb21_paper/results/2021-05-11_16-59-24,0.72647571893911,0.5672111222835767,0.3208947894765889,0.4992437643911335,0.5066446650406355,0.7377547299516668,0.5234387959722739,0.6746319386911999,256,False,,,,100,,,,0.25,"[64, 32]",167.0,,0.0001,0.001,,,,,,,,,regression
RDKitFP,../pacbb21_paper/results/2021-05-11_17-02-40,0.7827511701681676,0.5391071666235958,0.268288830106029,0.4722583699098331,0.4866193446371585,0.7523278573302358,0.5422750562963741,0.7181154299930435,256,False,,,,100,,,,0.0,"[256, 128]",1024.0,,0.01,0.0001,,,,,,,,,regression
GraphConv,../pacbb21_paper/results/2021-05-11_17-34-27,0.7498015867129424,0.597379464990369,0.2990899060754998,0.5089136754496455,0.11468338162068545,0.9447457779806484,0.8921262687672009,0.915178504294282,256,,,512.0,0.0,100,,"[64, 64, 64]",,,,,,,0.001,,,,,,,,,regression
TextCNN,../pacbb21_paper/results/2021-05-11_17-36-08,0.6195676046870244,0.6674176673779929,0.4208318631365946,0.5930704635860811,0.0785285541685825,0.966151092340502,0.9261343010053512,0.9453570283901568,256,,"{'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, '@': 34, 'e': 35, 'A': 36, '*': 37, '.': 38, 'L': 39, 'a': 40, 'B': 41, 'g': 42, 't': 43, 'i': 44, 'R': 45, 'T': 46, 'u': 47, '9': 48, '%': 49, '0': 50, 'G': 51, 'V': 52, 'Z': 53, 'd': 54, 'b': 55, 'M': 56, 'h': 57, 'r': 58, 'p': 59}",,0.5,100,,,,,,,"[3, 4, 5, 7, 10, 15]",,0.001,,75.0,"[100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160]",,,,,484.0,regression
AtomPair,../pacbb21_paper/results/2021-05-20_16-01-01,0.6504165090152303,0.6283441121370152,0.39199448960563055,0.5324613467724661,0.10060739521751404,0.9565641508466696,0.9053664536364824,0.9490406668255152,256,False,,,,100,,,,0.25,"[256, 128]",1024.0,,0.0001,0.001,,,,,,,,,regression
LayeredFP,../pacbb21_paper/results/2021-05-20_16-01-47,0.6986596169219073,0.6188172952555786,0.3468971173230292,0.5225368095336135,0.2959905120787664,0.8537611517802752,0.7215847623585919,0.8131455590825474,256,False,,,,100,,,,0.0,"[256, 128]",1024.0,,0.01,0.0001,,,,,,,,,regression
AttentiveFP,../pacbb21_paper/results/2021-05-20_15-20-14,0.7042548843563262,0.5849502837883562,0.3416666943784954,0.5190736859909261,0.6030919310610339,0.660833918873358,0.43271835935980696,0.588329849021786,256,,,,0.25,100,,,256.0,,,,,,0.001,,,,1.0,4.0,,,,regression
GCN,../pacbb21_paper/results/2021-05-20_09-46-23,0.6598048838186802,0.6348484422279732,0.3832182922997107,0.5672780273553923,0.450864266654991,0.7924010853588127,0.5759070753208326,0.7180719322277772,256,,,,0.0,100,,"[128, 128, 128, 128]",,,,,,,0.001,,,,,,0.25,64.0,,regression
GAT,../pacbb21_paper/results/2021-05-20_09-47-13,0.7794914623042103,0.5523138014626408,0.2713359857610457,0.5050123093643709,0.7012610584504885,0.6271706208321811,0.34037830177069306,0.5778316048231895,256,,,,0.0,100,"[16, 16]",,,,,,,,0.001,8.0,,,,,0.25,128.0,,regression
