DeepBio_id,smiles,sweet
18,CC(C)C[C@H](N)C(=O)N[C@@H](CC(C)C)C(O)=O,0
110,COc1ccc(cc1)C(C)=O,0
36,[O-][N+](=O)c1ccccc1,1
93,CNc1ccccc1C(=O)OC,1
16,CC(C)C[C@H](NC(=O)CN)C(O)=O,0
26,OC(=O)[C@@H]1CCCN1,1
8367,CCCCCCCCC=CCCCCCCCCCC(=O)OC(CO)CO,0
31,OS(=O)(=O)NC1CCCCC1,1
69,OCC(O)C(O)C(O)C(=O)CO,1
65,NC(Cc1ccccc1)C(O)=O,1
120,CCCCC1CCC(=O)O1,1
124,CCOC(=O)CC,1
84,NCCCCC(N)C(O)=O,0
3,NCC(O)=O,1
40,NC(=O)c1ccccc1,0
123,CCCC1CCC(=O)O1,1
72,CC(C)C(N)C(O)=O,0
113,CC(C)C(=O)OCc1ccccc1,1
21,CC(C)CC(N)C(O)=O,1
53,COc1ccccc1O,0
85,NC(Cc1ccc(O)cc1)C(O)=O,1
96,Cc1ccc2oc(=O)ccc2c1,0
63,CSCCC(N)C(O)=O,1
61,CC1OC(O)C(O)C(O)C1O,1
114,CC(C)CC(=O)OCc1ccccc1,1
102,CC(=O)OC1CC(CC=C1C)C(C)=C,1
97,CC(=O)c1ccc2ccccc2c1,1
46,OCC1OC(O)C(O)C(O)C1O,1
105,CCC(CC)C=O,1
75,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(O)=O,1
116,CCCC(=O)OCCc1ccccc1,1
68,OC(=O)Cc1ccccc1,1
112,CCOC(=O)Cc1ccccc1,0
54,CC(N)C(O)=O,1
129,CCCCCCCC(=O)OCC,1
71,OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,1
58,OCC(O)CO,1
109,CC(=C)C1CC=C(C)C(=O)C1,1
37,CCOC(=O)c1ccccc1,0
32,Oc1cccc(O)c1,1
50,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,1
106,OCc1ccco1,0
79,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1
57,OCC(=O)CO,1
30,O=C1CCCO1,1
127,CCC(=O)OCCC(C)C,0
62,OCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O,0
43,OCc1ccc(O)cc1,0
52,OCC(O)C(O)C(O)C(O)CO,1
81,COc1ccc(CCC(=O)c2c(O)cc(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)cc2O)cc1O,1
74,COC1OC(CO)C(O)C(O)C1O,1
7,NCCC(O)=O,1
100,CCCOC(=O)c1ccc(O)cc1,0
89,NC(Cc1c[nH]c2ccccc12)C(O)=O,0
13,CC(=O)N[C@@H](Cc1ccccc1)C(O)=O,0
119,CCCc1ccc(OC)cc1,1
94,O=C1OCc2ccccc12,1
132,COC(=O)CCC(=O)OC,1
130,CCCCCCCCCCCC(=O)OCC,1
20,OC(=O)C1CCCN1,1
56,O=C1CCc2ccccc2O1,1
83,NC(CCC(N)=O)C(O)=O,1
111,COC(=O)Cc1ccccc1,1
122,CC(C)COC(=O)CCc1ccco1,1
41,CC(C)CNCC(C)C,0
99,CCOC(=O)CC(=O)c1ccccc1,0
90,CCOC(=O)C1OC1(C)c1ccccc1,1
103,CCOC(=O)C(C)C,1
88,CCCCCO,1
6,N[C@H](Cc1ccccc1)C(O)=O,1
23,CC[C@H](C)[C@H](N)C(=O)N[C@@H](CC(N)=O)C(O)=O,0
131,CCCOC(=O)CC,0
87,NC(Cc1cnc[nH]1)C(O)=O,0
49,OCc1ccccc1,1
8,CC[C@@H](N)C(O)=O,1
2,CCC(O)=O,0
80,OCC1OC(O)(CO)C(O)C1OC1OC(CO)C(O)C(O)C1O,1
92,COC(C)=O,0
108,CC(=O)c1ccccc1,0
86,NC(CC(N)=O)C(O)=O,1
133,CCCCCCC(=O)OC,1
15,CC[C@H](N)C(O)=O,1
14,C[C@H](N)C(O)=O,1
77,COc1cc(CC=C)ccc1O,1
22,N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O,0
60,OCC(O)C(O)C(O)CO,1
98,COc1ccc(CC=C)cc1OC,0
107,O=Cc1ccco1,1
66,OC(=O)C(O)=Cc1ccccc1,1
44,Oc1ccc(C=O)cc1,1
121,CCCCC(CC)CO,1
25,C[C@@H](O)[C@H](N)C(O)=O,1
4,CC(C)C[C@@H](N)C(O)=O,1
29,O=C1CCCCCN1,0
55,CC(=O)C(O)=C,1
126,CCCOC(=O)CCC,1
38,CCCOC(=O)c1cc(O)c(O)c(O)c1,0
67,O=CCc1ccccc1,0
104,CCCCOC(=O)C(C)C,1
34,OC(=O)c1ccccc1,1
1645,OCC(=C)C(=O)O[C@H]1CC(=C)[C@@H]2C[C@H](O)C(=C)[C@@H]2[C@H]2OC(=O)C(=C)[C@H]12,0
48,O=Cc1ccccc1,0
91,CC1=CC(=O)CC(C)(C)C1,1
10,CC(C)C[C@H](N)C(O)=O,0
12,N[C@@H](Cc1ccc(O)cc1)C(O)=O,0
11,N[C@@H](Cc1ccccc1)C(O)=O,0
17,NCC(=O)N[C@@H](Cc1ccccc1)C(O)=O,0
125,CCOC(=O)CC(=O)OCC,1
19,CC(C)[C@H](NC(=O)[C@H](C)N)C(O)=O,0
118,COc1ccc(COC(C)=O)cc1,1
27,O=C1CCCCCCC1,0
70,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,1
24,CC(C)C[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(O)=O,0
64,OC(=C)C=O,1
128,CCCCCC(=O)OCC(C)C,1
117,CC(C)C(=O)OCCCc1ccccc1,0
73,COc1cc(C=O)ccc1O,1
134,CC(CCCC(C)(C)O)CC=O,1
42,CCC(=O)C(O)=O,1
45,CC(O)C(C)=O,1
78,OCC1(O)OCC(O)C(O)C1O,1
33,Oc1cc(O)cc(O)c1,1
28,C1CCNCC1,0
47,OC1COC(O)C(O)C1O,1
152,CCC(=O)OC(C)c1ccccc1,1
211,CC(=O)c1ccco1,1
256,CCCC(C)OC(=O)CCC,1
234,CCOC(=O)C(C)CC,1
242,COc1cc(CCC(C)=O)ccc1O,1
144,CCCOC=O,0
207,CCCCCCC1CCC(=O)O1,1
264,CC1=C(C=O)C(C)(C)CC=C1,1
209,CCC(C)C(=O)OC,1
194,CCOC(=O)c1ccc(O)c(OC)c1,0
217,CCCC(=O)OCC=C,1
236,CCCCOC(=O)c1ccccc1N,1
254,CC1=CC(=O)NS(=O)(=O)O1,1
186,CC(C)C1(O)CCC(C)=CC1,1
199,CCCCCC(=O)OCCC,1
233,CC(=C)C1CCC(C)=CC1,1
170,OCC(O)C(O)CO,1
260,Cc1ccc(CC=O)cc1,1
142,CCCCCCCCCC(=O)OCC,1
261,COc1ccc(CCC(C)=O)cc1,1
232,CC(=O)CCc1ccc(O)cc1,1
180,CCCCCOC(=O)CCC,1
171,CCOc1ccc(NC(N)=O)cc1,1
266,CCCCCCCCOC(=O)CC,1
191,CC(=O)CCC(O)=O,1
172,COc1ccc(OC)cc1,0
181,CCC(=O)OCC(C)C,0
140,c1cc[nH]c1,0
145,CCCCCCCC(=O)OC,1
146,CCCCCCO,1
227,CCCC(=O)C(O)=C,1
267,CCCCOC(=O)CCCC,1
206,CCCCCC1CCCC(=O)O1,1
136,CC(C)OC(C)=O,1
270,CCC1OC(=O)C(O)=C1C,1
248,CCCC(=O)CCC,1
250,CCCCCC(=O)OCC=C,1
246,OCCCc1ccccc1,1
241,CC1CCOC(C1)C=C(C)C,1
162,CC(C)CC(=O)OCCc1ccccc1,0
222,CCCCCCOC(=O)CCC,1
141,CC(C)COC(C)=O,0
150,Cc1occc(=O)c1O,1
243,CCC(=O)OCc1ccccc1,1
147,CCCCCCCCCC=O,1
169,CCCCCCCCCOC(C)=O,0
220,CCCCCCOC(=O)C(C)C,1
202,CCCOC(=O)C(C)C,1
139,CCCCOC(=O)CCC,1
190,CCCCOC(=O)CC,1
183,CCCCCC(C)O,0
